sentence_id,domain_category,english_text,sesotho_text
1847,Medication Instructions,Take two capsules at bedtime with a glass of water.,
1848,Medication Instructions,"Take one tablet daily, preferably at the same time each day.",
1849,Medication Instructions,Take one tablet every eight hours for ten days.,
1850,Medication Instructions,"Take two tablets on the first day, then one tablet daily for six days.",
1851,Medication Instructions,Take one tablet twice daily for three months.,
1852,Medication Instructions,Take one tablet in the morning and two at night.,
1853,Medication Instructions,Take one capsule once daily with the main meal.,
1854,Medication Instructions,Take two tablets three times a day for five days.,
1855,Medication Instructions,Take one tablet every day for six months without interruption.,
1856,Medication Instructions,"Take one tablet twice daily, swallowed whole with water.",
1857,Medication Instructions,Take one tablet every night at bedtime for two weeks.,
1858,Medication Instructions,"Take two tablets as a loading dose, then one tablet daily.",
1859,Medication Instructions,Take one tablet four times daily until symptoms resolve.,
1860,Medication Instructions,"Take one capsule twice a day, morning and evening, with food.",
1861,Medication Instructions,Take one tablet daily for the entire duration prescribed by your doctor.,
1862,Medication Instructions,Take two tablets at the same time once a day.,
1863,Medication Instructions,Take one tablet every six hours for forty-eight hours.,
1864,Medication Instructions,Take one tablet with food to minimise nausea.,
1865,Medication Instructions,Take two capsules once daily in the morning.,
1866,Medication Instructions,Take one tablet three times daily at eight-hour intervals.,
1867,Medication Instructions,"Take one tablet every day, even when you feel well.",
1868,Medication Instructions,"Take two tablets twice daily for the first week, then one tablet twice daily.",
1869,Medication Instructions,Take one tablet at night for insomnia as directed.,
1870,Medication Instructions,Take one tablet every morning with a full glass of water.,
1871,Medication Instructions,"Take two tablets on day one, one tablet on day two, and one tablet on day three.",
1872,Medication Instructions,Take one capsule three times daily after meals.,
1873,Medication Instructions,Take one tablet daily for twelve months.,
1874,Medication Instructions,Take two tablets immediately after diagnosis is confirmed.,
1875,Medication Instructions,Take one tablet every twelve hours for fourteen days.,
1876,Medication Instructions,Take one tablet with the first meal of the day.,
1877,Medication Instructions,Take two tablets once daily for three days only.,
1878,Medication Instructions,"Take one tablet every eight hours, not exceeding three tablets per day.",
1879,Medication Instructions,"Take one tablet twice daily for the first month, then once daily thereafter.",
1880,Medication Instructions,Take two capsules twice daily with food.,
1881,Medication Instructions,"Take one tablet daily, increasing to two tablets after one week if tolerated.",
1882,Medication Instructions,Take one tablet every morning and every evening.,
1883,Medication Instructions,Take two tablets as a single dose with food.,
1884,Medication Instructions,Take one tablet three times a day for seven days.,
1885,Medication Instructions,Take one tablet at the same time every day to maintain drug levels.,
1886,Medication Instructions,Take two tablets once daily for five days.,
1887,Medication Instructions,Take one capsule every morning before breakfast.,
1888,Medication Instructions,Take one tablet twice daily for two weeks.,
1889,Medication Instructions,"Take two tablets on the first day only, then one tablet daily.",
1890,Medication Instructions,Take one tablet every day for the rest of your life as prescribed.,
1891,Medication Instructions,Take two tablets three times daily for three days.,
1892,Medication Instructions,"Take one tablet daily, starting on the first day of treatment.",
1893,Medication Instructions,"Take one capsule twice daily, morning and night.",
1894,Medication Instructions,Take two tablets once daily with a meal.,
1895,Medication Instructions,Take one tablet every four hours while awake.,
1896,Medication Instructions,Take one tablet twice daily for four weeks.,
1897,Medication Instructions,"Take two tablets as a single dose, repeated after twelve hours if needed.",
1898,Medication Instructions,Take one tablet every night before bed for chronic management.,
1899,Medication Instructions,Take two capsules once daily for seven days.,
1900,Medication Instructions,Take one tablet three times daily until the course is complete.,
1901,Medication Instructions,"Take one tablet every morning, increasing the dose as directed by your doctor.",
1902,Medication Instructions,Take two tablets twice daily for the duration of the treatment.,
1903,Medication Instructions,Take one capsule daily for the entire prescribed period.,
1904,Medication Instructions,"Take one tablet every eight hours, ensuring equal spacing between doses.",
1905,Medication Instructions,"Take two tablets once daily, preferably in the morning.",
1906,Medication Instructions,"Take one tablet twice daily, swallowing it whole without crushing.",
1907,Medication Instructions,"Take one tablet every day for twenty-eight days, then take a seven-day break.",
1908,Medication Instructions,Take two tablets at bedtime only.,
1909,Medication Instructions,Take one tablet three times daily with plenty of fluids.,
1910,Medication Instructions,Take one capsule once daily at the same time each day.,
1911,Medication Instructions,Take two tablets twice daily for two weeks.,
1912,Medication Instructions,Take one tablet every six hours until fever subsides.,
1913,Medication Instructions,"Take one tablet daily for the first week, then twice daily thereafter.",
1914,Medication Instructions,"Take two tablets as a single dose, not to be repeated within twenty-four hours.",
1915,Medication Instructions,Take one tablet every morning with food for long-term management.,
1916,Medication Instructions,Take two capsules three times daily for five days.,
1917,Medication Instructions,Take one tablet twice daily for six months.,
1918,Medication Instructions,"Take one tablet every twelve hours, ensuring you do not miss a dose.",
1919,Medication Instructions,Take two tablets once daily at bedtime.,
1920,Medication Instructions,Take one tablet three times daily for the full course of treatment.,
1921,Medication Instructions,Take one capsule every morning and evening with food.,
1922,Medication Instructions,Take two tablets twice daily until your doctor advises otherwise.,
1923,Medication Instructions,"Take one tablet daily, taken at the same time to improve adherence.",
1924,Medication Instructions,"Take two tablets on the first day, then one tablet daily for nine days.",
1925,Medication Instructions,Take one tablet every eight hours for five days.,
1926,Medication Instructions,"Take one capsule once daily, swallowed whole with water.",
1927,Medication Instructions,Take two tablets twice daily for one week.,
1928,Medication Instructions,"Take one tablet every morning, noon, and night.",
1929,Medication Instructions,Take two tablets as directed by your healthcare provider.,
1930,Medication Instructions,Take one tablet daily for the entire duration of your prescription.,
1931,Medication Instructions,Take one capsule twice daily for fourteen days.,
1932,Medication Instructions,Take two tablets three times daily for seven days.,
1933,Medication Instructions,"Take one tablet every four to six hours as needed, not exceeding four doses per day.",
1934,Medication Instructions,"Take one tablet twice daily, morning and evening, with or without food.",
1935,Medication Instructions,Take two capsules once daily for the full treatment period.,
1936,Medication Instructions,Take one tablet every day at bedtime for chronic conditions.,
1937,Medication Instructions,"Take two tablets once daily, swallowed whole with a full glass of water.",
1938,Medication Instructions,Take one tablet three times daily for ten days.,
1939,Medication Instructions,Take one capsule every twelve hours for seven days.,
1940,Medication Instructions,Take two tablets twice daily for three days.,
1941,Medication Instructions,Take one tablet daily for the prescribed number of weeks.,
1942,Medication Instructions,Take two tablets once daily in the evening with food.,
1943,Medication Instructions,Take one tablet every eight hours for three days.,
1944,Medication Instructions,Take one capsule three times daily for seven days.,
1945,Medication Instructions,Swallow the tablet whole with a full glass of water.,
1946,Medication Instructions,Do not crush or chew this tablet; swallow it whole.,
1947,Medication Instructions,Place the tablet under your tongue and let it dissolve.,
1948,Medication Instructions,Apply the cream thinly to the affected area twice daily.,
1949,Medication Instructions,Insert the suppository gently into the rectum.,
1950,Medication Instructions,Inhale one puff from the inhaler and hold your breath for ten seconds.,
1951,Medication Instructions,Inject the solution subcutaneously into the abdomen or thigh.,
1952,Medication Instructions,Administer the injection into the upper outer quadrant of the buttock.,
1953,Medication Instructions,"Apply the patch to clean, dry, hairless skin on the upper arm.",
1954,Medication Instructions,Place the drops directly into the affected ear.,
1955,Medication Instructions,Instil two drops into each eye four times daily.,
1956,Medication Instructions,Apply the gel to the affected joint and rub in gently.,
1957,Medication Instructions,Dissolve the tablet in a glass of water before drinking.,
1958,Medication Instructions,Shake the suspension well before measuring the dose.,
1959,Medication Instructions,Use the measuring spoon provided to ensure the correct dose.,
1960,Medication Instructions,Administer the injection slowly into the muscle.,
1961,Medication Instructions,Apply the ointment to the affected skin area and cover with a dressing.,
1962,Medication Instructions,Inhale the powder deeply into the lungs using the inhaler device.,
1963,Medication Instructions,Place the lozenge in the mouth and let it dissolve slowly.,
1964,Medication Instructions,Administer the nasal spray by inserting the tip into one nostril.,
1965,Medication Instructions,Apply the eye drops by pulling down the lower eyelid to form a pocket.,
1966,Medication Instructions,Inject the insulin subcutaneously and rotate injection sites regularly.,
1967,Medication Instructions,Administer the intravenous infusion over sixty minutes.,
1968,Medication Instructions,Apply the transdermal patch and replace it every seventy-two hours.,
1969,Medication Instructions,Dissolve the powder in 200ml of water and drink immediately.,
1970,Medication Instructions,Insert the vaginal tablet as high as possible using the applicator provided.,
1971,Medication Instructions,Administer the nebulised solution using a mask or mouthpiece.,
1972,Medication Instructions,Apply the lotion to the scalp and leave for ten minutes before rinsing.,
1973,Medication Instructions,Swallow the capsule whole; do not open or chew it.,
1974,Medication Instructions,Administer the injection at a ninety-degree angle for intramuscular injection.,
1975,Medication Instructions,Apply the cream to the skin and avoid contact with eyes and mucous membranes.,
1976,Medication Instructions,Use the oral syringe to measure the correct dose for children.,
1977,Medication Instructions,Administer the eye ointment along the inner lower eyelid.,
1978,Medication Instructions,Place the sublingual film under the tongue and allow it to dissolve.,
1979,Medication Instructions,Inject the solution at a forty-five-degree angle for subcutaneous injection.,
1980,Medication Instructions,Apply the spray to the affected area from a distance of fifteen centimetres.,
1981,Medication Instructions,Administer the rectal enema by lying on your left side.,
1982,Medication Instructions,Inhale slowly and deeply when using the pressurised metered-dose inhaler.,
1983,Medication Instructions,Apply the medicated shampoo to wet hair and leave for five minutes.,
1984,Medication Instructions,Administer the injection into the deltoid muscle of the upper arm.,
1985,Medication Instructions,Place the effervescent tablet in water and wait until fully dissolved.,
1986,Medication Instructions,Apply the topical solution using the applicator provided.,
1987,Medication Instructions,Administer the intramuscular injection into the vastus lateralis in infants.,
1988,Medication Instructions,Inhale through the mouthpiece of the dry powder inhaler in one steady breath.,
1989,Medication Instructions,Apply the nasal ointment inside each nostril using a cotton swab.,
1990,Medication Instructions,Administer the subcutaneous injection by pinching the skin before inserting the needle.,
1991,Medication Instructions,"Apply the medicated patch to the chest or back, not over broken skin.",
1992,Medication Instructions,Instil the ear drops by tilting the head to one side and pulling the ear upward.,
1993,Medication Instructions,Administer the oral rehydration solution in small sips over several hours.,
1994,Medication Instructions,Apply the antifungal cream between the toes and to the surrounding skin.,
1995,Medication Instructions,Administer the injection using a pre-filled syringe as instructed.,
1996,Medication Instructions,Inhale the bronchodilator before the corticosteroid inhaler.,
1997,Medication Instructions,Apply the wound gel directly to the wound bed before covering.,
1998,Medication Instructions,Administer the intravitreal injection only by a trained ophthalmologist.,
1999,Medication Instructions,Place the buccal tablet between the cheek and gum and allow it to dissolve.,
2000,Medication Instructions,Administer the intravenous bolus slowly over two minutes.,
