sentence_id,domain_category,english_text,sesotho_text
2283,Medication Instructions,Contact your doctor if you develop a persistent change in bowel habits.,Ikopanye le ngaka ea hau haeba u ba le phetoho e tsoelang pele mekhoaneng ea mala.
2284,Medication Instructions,Do not take this medicine with alcohol as it may cause serious side effects.,U se ke ua nka moriana ona le joala hobane o ka baka litlamorao tse matla.
2285,Medication Instructions,Avoid taking antacids within two hours of taking this medicine.,Hana ho nka li-antacid ka hare ho maho a mabeli oa ho nka moriana ona.
2286,Medication Instructions,This medicine may interact with blood thinners; inform your doctor.,Moriana ona o ka kopana le meriana e fokohisang mali; tsebisa ngaka ea hau.
2287,Medication Instructions,Do not take this medicine with grapefruit juice as it affects absorption.,U se ke ua nka moriana ona le moerane oa grapefruit hobane o angoa ho metsoa.
2288,Medication Instructions,Inform your doctor of all medicines you are taking before starting this treatment.,Tsebisa ngaka ea hau meriana yohle eo u e nkang pele ho qala phekolo ena.
2289,Medication Instructions,This medicine may reduce the effectiveness of oral contraceptives.,Moriana ona o ka fokotsa bokgoni ba li-contraceptive tsa molomo.
2290,Medication Instructions,Do not take this medicine with other sedatives without medical advice.,U se ke ua nka moriana ona le li-sedative tse ling ntle le keletso ea ngaka.
2291,Medication Instructions,This medicine may increase the effects of blood pressure medication.,Moriana ona o ka eketsa litlamorao tsa moriana oa khatello ea mali.
2292,Medication Instructions,Avoid taking iron supplements within four hours of this medicine.,Hana ho nka lisebelisoa tsa tšepe ka hare ho maho a mane oa moriana ona.
2293,Medication Instructions,This medicine may interact with diabetes medications; monitor your blood sugar.,Moriana ona o ka kopana le meriana ea tsoekere; hlahloja tsoekere ea hau ea mali.
2294,Medication Instructions,Do not take this medicine with St John's Wort herbal supplement.,U se ke ua nka moriana ona le sesebelisoa sa semela sa St John's Wort.
2295,Medication Instructions,This medicine may increase the risk of bleeding when taken with aspirin.,Moriana ona o ka eketsa kotsi ea ho tsoa mali ha o nkoa le aspirin.
2296,Medication Instructions,Avoid taking calcium supplements at the same time as this medicine.,Hana ho nka lisebelisoa tsa calcium ka nako e tšoanang le moriana ona.
2297,Medication Instructions,This medicine may interact with cholesterol-lowering drugs; inform your doctor.,Moriana ona o ka kopana le meriana e theohisang cholesterol; tsebisa ngaka ea hau.
2298,Medication Instructions,Do not take this medicine with other antibiotics without medical advice.,U se ke ua nka moriana ona le li-antibiotic tse ling ntle le keletso ea ngaka.
2299,Medication Instructions,This medicine may increase the toxicity of other medicines taken together.,Moriana ona o ka eketsa kotsi ea meriana e meng e nkuoang hammoho.
2300,Medication Instructions,Avoid taking magnesium supplements within two hours of this medicine.,Hana ho nka lisebelisoa tsa magnesium ka hare ho maho a mabeli oa moriana ona.
2301,Medication Instructions,This medicine may interact with antiepileptic drugs; monitor drug levels.,Moriana ona o ka kopana le meriana ea antiepileptic; hlahloja maemo a meriana.
2302,Medication Instructions,Do not take this medicine with antifungal drugs without medical advice.,U se ke ua nka moriana ona le meriana ea antifungal ntle le keletso ea ngaka.
2303,Medication Instructions,This medicine may increase the risk of muscle damage when taken with statins.,Moriana ona o ka eketsa kotsi ea kotsi ea mochine ha o nkoa le li-statin.
2304,Medication Instructions,Avoid taking zinc supplements at the same time as this medicine.,Hana ho nka lisebelisoa tsa zinc ka nako e tšoanang le moriana ona.
2305,Medication Instructions,This medicine may interact with immunosuppressant drugs; inform your doctor.,Moriana ona o ka kopana le meriana ea ho laola tšireletso ea 'mele; tsebisa ngaka ea hau.
2306,Medication Instructions,Do not take this medicine with antiviral drugs without medical advice.,U se ke ua nka moriana ona le meriana ea antiviral ntle le keletso ea ngaka.
2307,Medication Instructions,This medicine may increase the sedative effects of antihistamines.,Moriana ona o ka eketsa litlamorao tsa ho robatsa tsa li-antihistamine.
2308,Medication Instructions,Avoid taking dairy products within two hours of this medicine.,Hana ho nka lihlahisoa tsa lebese ka hare ho maho a mabeli oa moriana ona.
2309,Medication Instructions,This medicine may interact with thyroid medications; monitor thyroid levels.,Moriana ona o ka kopana le meriana ea thyroid; hlahloja maemo a thyroid.
2310,Medication Instructions,Do not take this medicine with antidepressants without medical advice.,U se ke ua nka moriana ona le li-antidepressant ntle le keletso ea ngaka.
2311,Medication Instructions,This medicine may increase the risk of kidney damage when taken with NSAIDs.,Moriana ona o ka eketsa kotsi ea kotsi ea lipitso ha o nkoa le li-NSAID.
2312,Medication Instructions,Avoid taking vitamin C supplements at the same time as this medicine.,Hana ho nka lisebelisoa tsa vitamin C ka nako e tšoanang le moriana ona.
2313,Medication Instructions,This medicine may interact with antipsychotic drugs; inform your doctor.,Moriana ona o ka kopana le meriana ea antipsychotic; tsebisa ngaka ea hau.
2314,Medication Instructions,Do not take this medicine with antimalarial drugs without medical advice.,U se ke ua nka moriana ona le meriana ea ho loa malaria ntle le keletso ea ngaka.
2315,Medication Instructions,This medicine may increase the effects of muscle relaxants.,Moriana ona o ka eketsa litlamorao tsa meriana e khumolisang mochine.
2316,Medication Instructions,Avoid taking potassium supplements at the same time as this medicine.,Hana ho nka lisebelisoa tsa potassium ka nako e tšoanang le moriana ona.
2317,Medication Instructions,This medicine may interact with anticoagulant drugs; monitor clotting time.,Moriana ona o ka kopana le meriana ea anticoagulant; hlahloja nako ea ho tšoaroa ha mali.
2318,Medication Instructions,Do not take this medicine with corticosteroids without medical advice.,U se ke ua nka moriana ona le li-corticosteroid ntle le keletso ea ngaka.
2319,Medication Instructions,This medicine may increase the risk of heart rhythm problems with other drugs.,Moriana ona o ka eketsa kotsi ea mathata a mokhoa oa ho otla ha pelo le meriana e meng.
2320,Medication Instructions,Avoid taking sodium bicarbonate at the same time as this medicine.,Hana ho nka sodium bicarbonate ka nako e tšoanang le moriana ona.
2321,Medication Instructions,This medicine may interact with diuretic drugs; monitor electrolyte levels.,Moriana ona o ka kopana le meriana ea diuretic; hlahloja maemo a electrolyte.
2322,Medication Instructions,Do not take this medicine with antiretroviral drugs without medical advice.,U se ke ua nka moriana ona le meriana ea antiretroviral ntle le keletso ea ngaka.
2323,Medication Instructions,This medicine may increase the risk of low blood sugar with insulin.,Moriana ona o ka eketsa kotsi ea ho fokotseha ha tsoekere ea mali le insulin.
2324,Medication Instructions,Avoid taking herbal remedies at the same time as this medicine without advice.,Hana ho nka meriana ea semela ka nako e tšoanang le moriana ona ntle le keletso.
2325,Medication Instructions,This medicine may interact with beta-blocker drugs; inform your doctor.,Moriana ona o ka kopana le meriana ea beta-blocker; tsebisa ngaka ea hau.
2326,Medication Instructions,Do not take this medicine with antituberculosis drugs without medical advice.,U se ke ua nka moriana ona le meriana ea ho loa TB ntle le keletso ea ngaka.
2327,Medication Instructions,This medicine may increase the risk of bleeding with antiplatelet drugs.,Moriana ona o ka eketsa kotsi ea ho tsoa mali le meriana ea antiplatelet.
2328,Medication Instructions,Avoid taking high-dose vitamin E supplements at the same time as this medicine.,Hana ho nka lisebelisoa tsa vitamin E tsa dose e phahameng ka nako e tšoanang le moriana ona.
2329,Medication Instructions,This medicine may interact with ACE inhibitor drugs; monitor blood pressure.,Moriana ona o ka kopana le meriana ea ACE inhibitor; hlahloja khatello ea mali.
2330,Medication Instructions,Do not take this medicine with antihypertensive drugs without medical advice.,U se ke ua nka moriana ona le meriana ea antihypertensive ntle le keletso ea ngaka.
2331,Medication Instructions,This medicine may increase the risk of toxicity with other nephrotoxic drugs.,Moriana ona o ka eketsa kotsi ea kotsi le meriana e meng ea nephrotoxic.
2332,Medication Instructions,Avoid taking high-dose vitamin A supplements at the same time as this medicine.,Hana ho nka lisebelisoa tsa vitamin A tsa dose e phahameng ka nako e tšoanang le moriana ona.
2333,Medication Instructions,This medicine may interact with calcium channel blocker drugs; inform your doctor.,Moriana ona o ka kopana le meriana ea calcium channel blocker; tsebisa ngaka ea hau.
2334,Medication Instructions,Do not take this medicine with antidiabetic drugs without medical advice.,U se ke ua nka moriana ona le meriana ea antidiabetic ntle le keletso ea ngaka.
2335,Medication Instructions,This medicine may increase the risk of serotonin syndrome with other serotonergic drugs.,Moriana ona o ka eketsa kotsi ea serotonin syndrome le meriana e meng ea serotonergic.
2336,Medication Instructions,Avoid taking high-dose vitamin K supplements at the same time as this medicine.,Hana ho nka lisebelisoa tsa vitamin K tsa dose e phahameng ka nako e tšoanang le moriana ona.
2337,Medication Instructions,This medicine may interact with proton pump inhibitor drugs; inform your doctor.,Moriana ona o ka kopana le meriana ea proton pump inhibitor; tsebisa ngaka ea hau.
2338,Medication Instructions,Do not take this medicine with antianxiety drugs without medical advice.,U se ke ua nka moriana ona le meriana ea antianxiety ntle le keletso ea ngaka.
2339,Medication Instructions,This medicine may increase the risk of QT prolongation with other drugs.,Moriana ona o ka eketsa kotsi ea ho atolosoa ha QT le meriana e meng.
2340,Medication Instructions,Avoid taking high-dose omega-3 supplements at the same time as this medicine.,Hana ho nka lisebelisoa tsa omega-3 tsa dose e phahameng ka nako e tšoanang le moriana ona.
2341,Medication Instructions,This medicine may interact with H2 blocker drugs; inform your doctor.,Moriana ona o ka kopana le meriana ea H2 blocker; tsebisa ngaka ea hau.
2342,Medication Instructions,Do not take this medicine with anticonvulsant drugs without medical advice.,U se ke ua nka moriana ona le meriana ea anticonvulsant ntle le keletso ea ngaka.
2343,Medication Instructions,This medicine may increase the risk of hypotension with other antihypertensives.,Moriana ona o ka eketsa kotsi ea ho fokotseha ha khatello ea mali le li-antihypertensive tse ling.
2344,Medication Instructions,Avoid taking high-dose coenzyme Q10 supplements at the same time as this medicine.,Hana ho nka lisebelisoa tsa coenzyme Q10 tsa dose e phahameng ka nako e tšoanang le moriana ona.
2345,Medication Instructions,This medicine may interact with nitrate drugs; inform your doctor.,Moriana ona o ka kopana le meriana ea nitrate; tsebisa ngaka ea hau.
2346,Medication Instructions,Do not take this medicine with antiparkinson drugs without medical advice.,U se ke ua nka moriana ona le meriana ea antiparkinson ntle le keletso ea ngaka.
2347,Medication Instructions,This medicine may increase the risk of hyperkalemia with potassium-sparing diuretics.,Moriana ona o ka eketsa kotsi ea hyperkalemia le li-diuretic tse bolokang potassium.
2348,Medication Instructions,Avoid taking high-dose garlic supplements at the same time as this medicine.,Hana ho nka lisebelisoa tsa garlic tsa dose e phahameng ka nako e tšoanang le moriana ona.
2349,Medication Instructions,This medicine may interact with alpha-blocker drugs; inform your doctor.,Moriana ona o ka kopana le meriana ea alpha-blocker; tsebisa ngaka ea hau.
2350,Medication Instructions,Do not take this medicine with antihistamine drugs without medical advice.,U se ke ua nka moriana ona le meriana ea antihistamine ntle le keletso ea ngaka.
2351,Medication Instructions,This medicine may increase the risk of hyponatremia with other drugs.,Moriana ona o ka eketsa kotsi ea hyponatremia le meriana e meng.
2352,Medication Instructions,Avoid taking high-dose ginkgo biloba supplements at the same time as this medicine.,Hana ho nka lisebelisoa tsa ginkgo biloba tsa dose e phahameng ka nako e tšoanang le moriana ona.
2353,Medication Instructions,This medicine may interact with beta-agonist drugs; inform your doctor.,Moriana ona o ka kopana le meriana ea beta-agonist; tsebisa ngaka ea hau.
2354,Medication Instructions,Do not take this medicine with anticholinergic drugs without medical advice.,U se ke ua nka moriana ona le meriana ea anticholinergic ntle le keletso ea ngaka.
2355,Medication Instructions,This medicine may increase the risk of hypoglycemia with other antidiabetic drugs.,Moriana ona o ka eketsa kotsi ea hypoglycemia le meriana e meng ea antidiabetic.
2356,Medication Instructions,Avoid taking high-dose echinacea supplements at the same time as this medicine.,Hana ho nka lisebelisoa tsa echinacea tsa dose e phahameng ka nako e tšoanang le moriana ona.
2357,Medication Instructions,This medicine may interact with dopamine agonist drugs; inform your doctor.,Moriana ona o ka kopana le meriana ea dopamine agonist; tsebisa ngaka ea hau.
2358,Medication Instructions,Do not take this medicine with antiemetic drugs without medical advice.,U se ke ua nka moriana ona le meriana ea antiemetic ntle le keletso ea ngaka.
2359,Medication Instructions,This medicine may increase the risk of peripheral neuropathy with other drugs.,Moriana ona o ka eketsa kotsi ea neuropathy ea maphethelo le meriana e meng.
2360,Medication Instructions,Avoid taking high-dose valerian supplements at the same time as this medicine.,Hana ho nka lisebelisoa tsa valerian tsa dose e phahameng ka nako e tšoanang le moriana ona.
2361,Medication Instructions,This medicine may interact with serotonin reuptake inhibitor drugs; inform your doctor.,Moriana ona o ka kopana le meriana ea serotonin reuptake inhibitor; tsebisa ngaka ea hau.
2362,Medication Instructions,Do not take this medicine with antispasmodic drugs without medical advice.,U se ke ua nka moriana ona le meriana ea antispasmodic ntle le keletso ea ngaka.
2363,Medication Instructions,This medicine may increase the risk of hepatotoxicity with other liver-toxic drugs.,Moriana ona o ka eketsa kotsi ea hepatotoxicity le meriana e meng e kotsi ea sebete.
2364,Medication Instructions,Avoid taking high-dose kava supplements at the same time as this medicine.,Hana ho nka lisebelisoa tsa kava tsa dose e phahameng ka nako e tšoanang le moriana ona.
2365,Medication Instructions,This medicine may interact with monoamine oxidase inhibitor drugs; inform your doctor.,Moriana ona o ka kopana le meriana ea monoamine oxidase inhibitor; tsebisa ngaka ea hau.
2366,Medication Instructions,Do not take this medicine with antiulcer drugs without medical advice.,U se ke ua nka moriana ona le meriana ea antiulcer ntle le keletso ea ngaka.
2367,Medication Instructions,This medicine may increase the risk of nephrotoxicity with other kidney-toxic drugs.,Moriana ona o ka eketsa kotsi ea nephrotoxicity le meriana e meng e kotsi ea lipitso.
2368,Medication Instructions,Avoid taking high-dose black cohosh supplements at the same time as this medicine.,Hana ho nka lisebelisoa tsa black cohosh tsa dose e phahameng ka nako e tšoanang le moriana ona.
2369,Medication Instructions,This medicine may interact with tricyclic antidepressant drugs; inform your doctor.,Moriana ona o ka kopana le meriana ea tricyclic antidepressant; tsebisa ngaka ea hau.
2370,Medication Instructions,Do not take this medicine with antidiarrheal drugs without medical advice.,U se ke ua nka moriana ona le meriana ea antidiarrheal ntle le keletso ea ngaka.
2371,Medication Instructions,This medicine may increase the risk of cardiotoxicity with other heart-toxic drugs.,Moriana ona o ka eketsa kotsi ea cardiotoxicity le meriana e meng e kotsi ea pelo.
2372,Medication Instructions,Avoid taking high-dose dong quai supplements at the same time as this medicine.,Hana ho nka lisebelisoa tsa dong quai tsa dose e phahameng ka nako e tšoanang le moriana ona.
2373,Medication Instructions,This medicine may interact with selective serotonin reuptake inhibitor drugs; inform your doctor.,Moriana ona o ka kopana le meriana ea selective serotonin reuptake inhibitor; tsebisa ngaka ea hau.
2374,Medication Instructions,Do not take this medicine with antiflatulent drugs without medical advice.,U se ke ua nka moriana ona le meriana ea antiflatulent ntle le keletso ea ngaka.
2375,Medication Instructions,This medicine may increase the risk of neurotoxicity with other nerve-toxic drugs.,Moriana ona o ka eketsa kotsi ea neurotoxicity le meriana e meng e kotsi ea methapo.
2376,Medication Instructions,Avoid taking high-dose feverfew supplements at the same time as this medicine.,Hana ho nka lisebelisoa tsa feverfew tsa dose e phahameng ka nako e tšoanang le moriana ona.
2377,Medication Instructions,This medicine may interact with norepinephrine reuptake inhibitor drugs; inform your doctor.,Moriana ona o ka kopana le meriana ea norepinephrine reuptake inhibitor; tsebisa ngaka ea hau.
2378,Medication Instructions,Do not take this medicine with antacid drugs without medical advice.,U se ke ua nka moriana ona le meriana ea antacid ntle le keletso ea ngaka.
