english,reference_sesotho,nllb_output
Inform your doctor if you are having difficulty with the frequency of dosing.,Tsebisa ngaka ea hau haeba u na le bothata ba hangata ha ho nka dose.,Bolella ngaka ea hao haeba u e-na le bothata ba ho sebelisa litekanyetso ka makhetlo a mangata.
Older adults should include balance and strength exercises.,Batho ba baholo ba lokela ho kenyelletsa maitlamo a tekanyo le a matla.,Batho ba hōlileng ba lokela ho ikoetlisa ka ho leka-lekana le ka matla.
Adults need seven to nine hours of sleep every night.,Batho ba baholo ba hloka lihora tse supileng ho isa tse robeli tsa boroko bosiu bo bong le bo bong.,Batho ba baholo ba hloka ho robala lihora tse supileng ho isa ho tse robong bosiu bo bong le bo bong.
"If you miss a dose of a vitamin supplement, take it as soon as you remember.","Haeba u lahlehetsoe ke dose ea sesebelisoa sa vitamin, e nke hang hang ha u hopola.","Haeba u hloloheloa tekanyetso ea tlatsetso ea vithamine, e nke hang ha u hopola."
"I have pain in my joints, especially my knees.","Ke na le mahloko maqhoeng a ka, haholo-holo mangoleng a ka.","Ke na le bohloko ba manonyeletso, haholo-holo ka mangole."
The continuation phase of TB treatment lasts four months and uses two drugs: isoniazid and rifampicin.,Nako ea ho tsoela pele ea phekolo ea TB e nka likhoeli tse nne mme e sebelisa meriana e mebeli: isoniazid le rifampicin.,Nako e tsoelang pele ea phekolo ea TB e nka likhoeli tse 'nè' me e sebelisa lithethefatsi tse peli: isoniazid le rifampicin.
I have a cough that is triggered by chemicals.,Ke na le ho kohoa ho qalisitsoeng ke likhemikale.,Ke na le ho khohlela ho bakoang ke lik'hemik'hale.
Community health workers play a vital role in TB case finding and patient support.,Basebetsi ba bophelo bo botle ba sechaba ba bua karolo ea bohlokoa ho fumana liketsahalo tsa TB le tshehetso ea bakuli.,Basebetsi ba bophelo bo botle ba sechaba ba bapala karolo ea bohlokoa ho fumaneng linyeoe tsa TB le ho tšehetsa bakuli.
Kidney function should be monitored regularly in people taking tenofovir-based ART.,Tšebetso ea liphio (kidney function) e lokela ho hlahlojoa khafetsa ho batho ba ntseng ba nka meriana ea ART e nang le tenofovir (tenofovir-based ART).,Ts'ebetso ea liphio e lokela ho hlahlojoa kamehla ho batho ba nkang ART e thehiloeng ho tenofovir.
TB can cause permanent lung damage if not treated promptly and completely.,TB e ka baka kotsi ea matšoafo e sa foleng haeba e sa phekoluoe ka potlako le ka botlalo.,Lefuba le ka baka tšenyo e sa feleng ea matšoafo haeba le sa phekoloe ka potlako le ka ho feletseng.
Do not give the medicine to a child who is on a preservative-free diet without checking.,U se ke ua fana ka moriana ho ngoana ea lijo tse se nang li-preservative ntle le ho hlahloba.,U se ke ua fana ka moriana ho ngoana ea jang lijo tse se nang li - preservatives ntle le ho hlahloba.
Do not take this medicine with antacid drugs without medical advice.,U se ke ua nka moriana ona le meriana ea antacid ntle le keletso ea ngaka.,U se ke ua noa meriana ena hammoho le lithethefatsi tse khahlanong le asiti ntle le keletso ea ngaka.
I was told that emergency contraception does not cause an abortion.,Ke boletsoe hore thibelo ea ho mitsa ea tšohanyetso ha e baki ho lahla ngoana.,Ke ile ka bolelloa hore thibelo ea ho ima ka tšohanyetso ha e bake ho ntša mpa.
My child has been having night sweats and weight loss.,Ngoana oa ka o ntse a tsoa molapo bosiu le ho lahleheloa ke boima.,Ngoana oa ka o 'nile a fufuleloa bosiu' me a theola boima ba' mele.
I want to ask about the medication supply at this clinic.,Ke rata ho botsa ka phepelo ea moriana klinikeng ena.,Ke batla ho botsa ka phepelo ea meriana tleliniking ena.
Your CD4 count should be checked regularly when you start ART.,Palo ea lisele tsa hau tsa CD4 e lokela ho hlahlojoa kamehla ka mor'a hore u qale phekolo ea lithibela-mafofore (ART).,Palo ea hau ea CD4 e lokela ho hlahlojoa kamehla ha u qala ART.
Take your medicine with a glass of water to help it dissolve properly.,Nka moriana oa hau le mohope oa metsi ho o thusa ho nyamela hantle.,Nka meriana ea hao hammoho le khalase ea metsi ho e thusa ho qhibiliha hantle.
I have difficulty seeing in dim light.,Ke na le bothata ba ho bona leseding le fokolang.,Ke thatafalloa ke ho bona ha ke sa bone hantle.
This medicine may cause a decrease in bone density with long-term use.,Moriana ona o ka baka ho fokotseha ha bongata ba masapo ka tšebediso ea nako e telele.,Meriana ena e ka etsa hore masapo a fokotsehe ha a sebelisoa nako e telele.
The nurse printed my results for me to take home.,Mooki o hatisitse liphetho tsa ka bakeng sa ho li nka lapeng.,Mooki o ile a hatisa liphetho tsa ka e le hore nka li isa hae.
Oral health affects your overall health and wellbeing.,Bophelo ba molomo bo angoa bophelo ba hao ka bophara le boiketlo.,Bophelo bo botle ba molomo bo ama bophelo ba hao ka kakaretso le boiketlo ba hao.
Take two tablets at bedtime only.,Nka lipilisi tse peli nako ea ho robala feela.,Nka lipilisi tse peli feela pele u robala.
Drink only safe clean water to avoid waterborne infections.,Inua feela metsi a bolokehileng le a hloekileng (safe clean water) ho qoba lits'oetso tse tsamaisang ka metsi (waterborne infections).,Noa metsi a hloekileng feela e le hore u qobe tšoaetso ea metsi.
Healthcare workers must treat all patients with HIV with respect and without judgment.,Basebetsi ba bophelo bo botle ba lokela ho tšepa bakuli bohle ba nang le HIV ka hlompho le ntle le ho ahlola.,Basebetsi ba tlhokomelo ea bophelo ba lokela ho tšoara bakuli bohle ba nang le HIV ka tlhompho le ntle le kahlolo.
ART for children is available in liquid formulations for those who cannot swallow tablets.,Lenaneo la ART ke lona le lengwe la bana ba sa tsotobeng tablets.,ART bakeng sa bana e fumaneha ka litlhare tse metsi bakeng sa ba sa khoneng ho metsa matlapa.
"TB primarily affects the lungs but can also affect the kidneys, spine, and brain.","TB haholo-holo e angoa matšoafo empa e ka boetse e angoa lipitso, mokokotlo, le boko.","Tuberculosis e ama matšoafo haholo-holo empa e ka boela ea ama liphio, mokokotlo le boko."
Do not store the medication in a location that is subject to extreme temperature changes.,U se ke ua boloka moriana sebakeng se angoa ke liphetoho tsa mocheso tsa ho fetisisa.,U se ke ua boloka moriana sebakeng seo mocheso oa oona o fetohang haholo.
Immune reconstitution inflammatory syndrome usually occurs within the first three months of ART.,Syndrome ea ho bola ha tšireletso ea 'mele hangata e etsahala ka likhoeli tse tharo tsa pele tsa ART.,Hangata mafu a ho ruruha a bakoang ke ho tsosolosoa ha likokoana-hloko a hlaha ka mor'a likhoeli tse tharo tsa pele tsa ART.
I feel my whole body is shutting down.,Ke ikutloa 'mele oa ka ka bophara o emisa ho sebetsa.,Ke utloa eka 'mele oa ka kaofela oa tima.
Give the medicine to the child in a consistent manner to build a routine.,Fana ka moriana ho ngoana ka tsela e tsitsitseng ho theha mokhoa.,Fana ka moriana ho ngoana ka tsela e lumellanang e le hore a be le kemiso e tloaelehileng.
I was told to keep a diary of my symptoms between appointments.,Ke boletsoe ho boloka buka ea letsatsi ea matšoao a ka lipakeng tsa li-appointment.,Ke ile ka bolelloa hore ke boloke buka ea ka ea matšoao pakeng tsa likopano.
I have a rash on my upper arms that is blistering.,Ke na le ho ruruha ha letlalo mapha a ka a holimo ho nang le li-blister.,Ke na le khohlela matsohong a ka a ka holimo.
I feel very sick and my abdomen is very distended.,Ke ikutloa ke kula haholo mme mpa ea ka e phahame haholo.,Ke kula haholo 'me mpa ea ka e otlolohile haholo.
My child was referred to the nutrition programme at the clinic.,Mwana wa ka ile a romelwa ho programme ya tšeho kwenye klinik.,Ngoana oa ka o ile a fetisetsoa lenaneong la phepo e nepahetseng tleliniking eo.
Digital health tools such as SMS reminders can improve TB treatment adherence.,Lisebelisoa tsa bophelo bo botle tsa dijithale joalo ka litemoso tsa SMS li ka ntlafatsa ho latela phekolo ea TB.,Lisebelisoa tsa dijithale tsa bophelo bo botle tse kang likhopotso tsa melaetsa ea selefouno li ka ntlafatsa mokhoa oa ho phekola TB.
I have difficulty breathing and my ankles are swollen.,Ke na le bothata ba ho hema mme li-ankele tsa ka li ruruhetse.,Ke thatafalloa ke ho hema 'me maoto a ka a ruruhile.
"LTBI treatment uptake remains low globally due to lack of awareness, testing capacity, and drug availability.","Ho amoheloa ha phekolo ea LTBI ho ntse ho tlase lefatšeng lohle ka lebaka la ho hloka tsebo, bokgoni ba liteko, le ho fumaneha ha meriana.","Ho amoheloa ha kalafo ea LTBI ho ntse ho le tlaase lefatšeng ka bophara ka lebaka la ho hloka tsebo, bokhoni ba ho etsa liteko le ho fumaneha ha lithethefatsi."
Breastfeeding mothers living with HIV have increased nutritional needs.,Bomme ba anyesang ba phelang le HIV ba na le litlhoko tse eketsehileng tsa phepo.,Bo-'mè ba anyesang ba nang le tšoaetso ea HIV ba na le litlhoko tse eketsehileng tsa phepo e nepahetseng.
CD4 count testing is less important once a patient is virally suppressed on ART.,Ho lekoa ha palo ea CD4 ho bohlokoa hanyane ha mokuloi a se a laoloa ke vaerase holim'a ART.,Ho hlahloba palo ea CD4 ha ho bohlokoa ha mokuli a hatelloa ke vaerase ka ART.
Every positive health choice you make today benefits your future.,Khetho le leng le le leng le letle la bophelo bo botle eo o le etsang kajeno le nts'etsa bokamoso ba hao pele.,Khetho e 'ngoe le e 'ngoe ea bophelo bo botle eo u e etsang kajeno e tla u tsoela molemo nakong e tlang.
I would like to know when I can resume normal eating.,Ke rata ho tseba nako eo nka khutlela ho ja ka tloaelo.,Nka rata ho tseba hore na nka qala ho ja ka tsela e tloaelehileng neng.
I was told to watch for danger signs in my newborn.,Nkeile ka hloho ho sheba masenyoho a tšohlehang a ngoanana.,Ke ile ka bolelloa hore ke hlokomele matšoao a kotsi ho lesea la ka le sa tsoa tsoaloa.
Cognitive behavioural therapy is effective for depression and anxiety in people living with HIV.,Phekolo ea maitshwaro a mahutu e sebetsa hantle bakeng sa ho nyamela le ho tšaba ho batho ba phelang le HIV.,Kalafo ea boitšoaro ea kelello e sebetsa hantle bakeng sa ho tepella maikutlo le ho tšoenyeha ho batho ba nang le HIV.
Diarrhoea caused by HIV or ART can lead to malnutrition if not managed.,Letshollo le bakiloeng ke HIV kapa meriana ea ART le ka baka phepo e mpe (malnutrition) ha le sa laoloe kapa la phekoloa ka nako.,Lefuba le bakoang ke HIV kapa ART le ka baka ho se je hantle ha le sa laoloe.
"In 2023, approximately 410,000 people developed MDR/RR-TB globally.","Ka 2023, batho ba ka bang 410,000 lefatšeng ka bophara ba ile ba tšoaroa ke MDR/RR-TB.","Ka 2023, batho ba ka bang 410,000 ba ile ba tšoaroa ke MDR/RR-TB lefatšeng ka bophara."
I am a man who has sex with men and I need HIV prevention services.,Ke monna ea nna le monna le ke hloka mesebetsi ea ho fokotsa HIV.,Ke monna ea etsang thobalano le banna 'me ke hloka litšebeletso tsa thibelo ea HIV.
You have the right to emergency care even if you cannot pay.,O na le tokelo ea tlhokomelo ea tšohanyetso le ha o ke ke oa lefa.,U na le tokelo ea ho fumana tlhokomelo ea tšohanyetso esita le haeba u sa khone ho lefa.
I have pain in my right ankle that radiates to my heel.,Ke na le mahloko ankele ea ka ea le letona a isisoang serethe sa ka.,"Ke na le bohloko mokokotlong oa ka o ka letsohong le letona, 'me bo fihla thekeng ea ka."
I have a feeling of pain in my ureters.,Ke na le maikutlo a mahloko li-ureter tsa ka.,Ke utloa bohloko ka har'a li-ureters tsa ka.
Cotrimoxazole prophylaxis also provides some protection against malaria.,Kotrimoksasoli ya prophylaxis e fana ka tlhofo e seng kae ka go feta le malaria.,Thibelo ea Cotrimoxazole e boetse e fana ka tšireletso e itseng khahlanong le malaria.
People with HIV should receive vaccinations to prevent certain opportunistic infections.,Batho ba phelang le HIV ba lokela ho fumana liente (vaccinations) ho thibela mafu a itseng a tlatsetso (certain opportunistic infections),Batho ba nang le tšoaetso ea HIV ba lokela ho entoa ho thibela tšoaetso e itseng ea monyetla.
