english,sesotho,source
Wash hands with soap after changing nappies.,Hlatsoa matsoho ka sesepa ka mor'a ho fetola masela.,back_translation
Clean the umbilical cord stump with clean water and keep it dry.,Hlatsoa mohala oa khoele ka metsi a hloekileng 'me u o boloke o omme.,back_translation
The umbilical cord stump falls off within two weeks.,Ho se ho fetile libeke tse peli feela ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho se ho,back_translation
Seek medical care if the umbilical cord stump becomes red or smells.,Batla thuso ea bongaka haeba molala oa mohala oa mokokotlo o fetoha o mofubelu kapa o nkha hampe.,back_translation
Newborns should be kept warm but not overheated.,Bana ba sa tsoa tsoaloa ba lokela ho futhumala empa ba se ke ba futhumala haholo.,back_translation
Skin-to-skin contact after birth helps regulate the baby's temperature.,Ho kopana ha letlalo le letlalo ka mor'a hore lesea le tsoaloe ho thusa ho laola mocheso oa lesea.,back_translation
Vitamin A supplementation is given to children every six months.,Bana ba fuoa vithamine ea A ka mor'a likhoeli tse tšeletseng.,back_translation
Deworming tablets are given to children over one year every six months.,Lipilisi tse senyang likokoanyana li fuoa bana ba lilemo li fetang selemo se le seng ka likhoeli tse tšeletseng.,back_translation
Growth monitoring detects malnutrition early.,Tlhokomelo ea kgolo e lemoha ho se je hantle ha lijo pele ho nako.,back_translation
A child with severe acute malnutrition needs urgent medical care.,Ngoana ea kulang haholo o hloka tlhokomelo ea bongaka ka potlako.,back_translation
Therapeutic feeding programmes treat severe malnutrition in children.,Mananeo a phekolo ea lijo a phekola ho se je hantle ho hoholo ha bana.,back_translation
Children with HIV should receive all routine vaccinations.,Bana ba nang le tšoaetso ea HIV ba lokela ho entoa kamehla.,back_translation
HIV-positive mothers can breastfeed if they are on antiretroviral therapy.,Bo-'mè ba nang le tšoaetso ea HIV ba ka anyesa haeba ba fuoa kalafo ea lithibela-mafu.,back_translation
Prevention of mother-to-child transmission reduces HIV in newborns.,Ho thibela ho fetisoa ha HIV ho tloha ho 'mè ho ea ho ngoana ho fokotsa HIV ho masea a sa tsoa tsoaloa.,back_translation
All pregnant women should be tested for HIV.,Basali bohle baimana ba lokela ho hlahlojoa hore na ba na le HIV.,back_translation
Start antiretroviral therapy immediately if you test HIV positive during pregnancy.,Qala kalafo ea antiretroviral hang-hang haeba u e-na le teko ea HIV nakong ea bokhachane.,back_translation
Nevirapine syrup is given to HIV-exposed newborns after birth.,Nevirapine syrup e fuoa masea a sa tsoa tsoaloa a nang le HIV ka mor'a hore a tsoaloe.,back_translation
All HIV-exposed infants should be tested at six weeks of age.,Bana bohle ba nang le tšoaetso ea HIV ba lokela ho hlahlojoa ha ba le libeke tse tšeletseng.,back_translation
Cotrimoxazole prophylaxis protects HIV-exposed infants from infections.,Cotrimoxazole prophylaxis e sireletsa masea a nang le tšoaetso ea HIV ho tšoaetso.,back_translation
Regular developmental checks monitor the child's milestones.,Ho hlahlojoa tsoelo-pele ea ngoana kamehla ho hlahloba hore na o na le nako e kae a ntse a hōla.,back_translation
Delayed milestones should be assessed by a healthcare professional.,Likarolo tsa bohlokoa tse ileng tsa lieha li lokela ho hlahlojoa ke setsebi sa tlhokomelo ea bophelo.,back_translation
Play and stimulation are essential for healthy brain development.,Ho bapala le ho susumetsa ke tsa bohlokoa hore boko bo hōle hantle.,back_translation
Read and talk to your baby from birth to support language development.,Bala 'me u buisane le lesea la hao ho tloha ha le hlaha e le hore le tšehetse tsoelo-pele ea puo.,back_translation
A safe home environment prevents childhood accidents and injuries.,Tikoloho e sireletsehileng ea lapeng e thibela likotsi le likotsi tsa bongoaneng.,back_translation
Keep sharp objects and cleaning products locked away from children.,Boloka lintho tse bohale le lintho tse hloekisang li le hōle le bana.,back_translation
Teach children to wash their hands before eating and after using the toilet.,Ruta bana ho hlapa matsoho pele ba ja le ka mor'a ho sebelisa ntloana.,back_translation
"Ensure children drink clean, safe water at all times.",Etsa bonnete ba hore bana ba noa metsi a hloekileng le a bolokehileng ka linako tsohle.,back_translation
School-age children should receive regular eye and hearing checks.,Bana ba lilemong tsa sekolo ba lokela ho hlahlojoa kamehla.,back_translation
Tuberculosis is spread through the air when an infected person coughs.,Lefuba le hasana moeeng ha motho ea tšoaelitsoeng a khohlela.,back_translation
TB symptoms include a persistent cough lasting more than two weeks.,Matšoao a TB a kenyelletsa ho khohlela ka nako e telele ho feta libeke tse peli.,back_translation
Cough into your elbow or a tissue to prevent spreading infection.,Ho khohlela ka mokokotlong kapa ka har'a lesela ho thibela tšoaetso hore e se ke ea ata.,back_translation
Open windows to improve ventilation and reduce TB transmission.,Bula lifensetere ho ntlafatsa moea o kenang le ho fokotsa ho fetisoa ha TB.,back_translation
TB is curable with a full course of treatment lasting six months.,Lefuba le ka phekoloa ka phekolo e feletseng ea likhoeli tse tšeletseng.,back_translation
Do not stop TB treatment early even if you feel better.,U se ke ua khaotsa ho phekola TB kapele le haeba u ikutloa u le betere.,back_translation
Drug-resistant TB requires a longer and more complex treatment.,Lefuba le sa sebetseng lithethefatsi le hloka kalafo e telele le e rarahaneng haholoanyane.,back_translation
HIV-positive people have a higher risk of developing TB.,Batho ba nang le tšoaetso ea HIV ba kotsing e kholo ea ho tšoaroa ke lefuba.,back_translation
Isoniazid preventive therapy reduces the risk of TB in HIV patients.,Kalafo ea thibelo ea isoniazid e fokotsa kotsi ea ho tšoaroa ke lefuba ho bakuli ba nang le HIV.,back_translation
"HIV is transmitted through unprotected sex, blood, and from mother to child.","HIV e fetisoa ka thobalano e sa sireletsoang, mali le ho tloha ho 'mè ho ea ho ngoana.",back_translation
"HIV is not transmitted through casual contact, hugging, or sharing food.","HIV ha e fetisoe ka ho kopana le motho ka linako tse ling, ka ho mo haka kapa ka ho ja hammoho.",back_translation
Use a condom every time you have sex to prevent HIV.,Sebelisa k'hontomo nako le nako ha u kopanela liphate ho thibela tšoaetso ea HIV.,back_translation
Male circumcision reduces the risk of HIV transmission.,Lebollo la banna le fokotsa kotsi ea ho fetisoa ha HIV.,back_translation
Pre-exposure prophylaxis reduces the risk of HIV infection.,Thibelo ea ho itšireletsa mafung pele ho ho pepeseha e fokotsa kotsi ea tšoaetso ea HIV.,back_translation
Test for HIV at least once a year if you are sexually active.,Ho hlahlojoa HIV bonyane hang ka selemo haeba u kopanela liphate.,back_translation
Antiretroviral therapy suppresses HIV and prevents transmission.,Kalafo ea antiviral e thibela tšoaetso ea HIV le ho e fetisetsa.,back_translation
An undetectable viral load means you cannot transmit HIV sexually.,Ho ba le moroalo oa vaerase o sa fumanoeng ho bolela hore u ke ke ua fetisetsa HIV ka thobalano.,back_translation
Take antiretroviral medication every day at the same time.,Nka meriana e khahlanong le li-retroviral letsatsi le leng le le leng ka nako e tšoanang.,back_translation
Never stop antiretroviral therapy without consulting your doctor.,Le ka mohla u se ke ua emisa kalafo ea antiretroviral ntle le ho buisana le ngaka ea hao.,back_translation
"Adherence to ART allows people with HIV to live long, healthy lives.",Ho latela ART ho etsa hore batho ba nang le HIV ba phele bophelo bo bolelele le bo phetseng hantle.,back_translation
Malaria is caused by a parasite transmitted through mosquito bites.,Malaria e bakoa ke likokoana-hloko tse fetisoang ke ho loma ha mosquito.,back_translation
Sleep under an insecticide-treated bed net every night.,Robala tlas'a letlooa la bethe le phekotsoeng ka likokoanyana bosiu bo bong le bo bong.,back_translation
Spray the inside of your home with insecticide to kill mosquitoes.,Tšela likokoanyana tse bolaeang likokoanyana ka hare ho ntlo ea hao.,back_translation
Remove standing water around your home to prevent mosquito breeding.,Tlosa metsi a emeng a pota-potileng ntlo ea hao e le hore u se ke ua tšoasa litšitšili.,back_translation
Seek medical care immediately if you develop fever after possible malaria exposure.,Batla tlhokomelo ea bongaka hang-hang haeba u e-na le feberu ka mor'a hore u pepese malaria.,back_translation
Malaria in pregnancy increases the risk of low birth weight.,Malaria nakong ea bokhachane e eketsa kotsi ea ho ba le boima bo tlaase ha motho a hlaha.,back_translation
Intermittent preventive treatment protects pregnant women from malaria.,Kalafo ea thibelo e sa khaotseng e sireletsa basali baimana ho malaria.,back_translation
Cholera is spread through contaminated water and food.,Kholera e hasana ka metsi le lijo tse silafetseng.,back_translation
Drink only boiled or treated water to prevent cholera.,Noa feela metsi a belang kapa a phekotsoeng ho thibela k'holera.,back_translation
Wash hands with soap and water before preparing food.,Hlatsoa matsoho ka sesepa le metsi pele u lokisetsa lijo.,back_translation
Cook food thoroughly to kill harmful bacteria.,Pheha lijo ka hloko e le hore u bolaee libaktheria tse kotsi.,back_translation
Refrigerate leftover food promptly to prevent bacterial growth.,Hang-hang beha lijo tse setseng ka sehatsetsing e le hore libaktheria li se ke tsa hōla.,back_translation
Typhoid fever is prevented by safe water and food hygiene.,Lefuba la typhoid le thibeloa ka metsi a hloekileng le bohloeki ba lijo.,back_translation
Hepatitis B is spread through blood and sexual contact.,Hepatitis B e hasana ka mali le ka ho kopanela liphate.,back_translation
The hepatitis B vaccine is safe and highly effective.,Ente ea hepatitis B e bolokehile ebile e sebetsa hantle haholo.,back_translation
Hepatitis C can be cured with a short course of antiviral medication.,Hepatitis C e ka phekoloa ka meriana e khahlanong le vaerase ka nako e khutšoanyane.,back_translation
Sexually transmitted infections increase the risk of HIV transmission.,Likokoana-hloko tse tšoaetsanoang ka thobalano li eketsa kotsi ea ho fetisoa ha HIV.,back_translation
Get tested for sexually transmitted infections regularly if sexually active.,Etsa tlhahlobo ea mafu a tšoaetsanoang ka thobalano khafetsa haeba u kopanela liphate.,back_translation
Many sexually transmitted infections have no symptoms.,Batho ba bangata ba tšoaetsanoang ka thobalano ha ba na matšoao.,back_translation
Gonorrhoea and chlamydia can cause infertility if left untreated.,Gonorrhea le chlamydia li ka baka ho se be le bana haeba li sa phekoloe.,back_translation
Syphilis can be treated with penicillin if detected early.,Syphilis e ka phekoloa ka penicillin haeba e fumanoa pele ho nako.,back_translation
Meningitis is a medical emergency — seek care immediately.,Meningitis ke boemo ba tšohanyetso ba bongaka  batla tlhokomelo hang-hang.,back_translation
"Symptoms of meningitis include stiff neck, fever, and sensitivity to light.","Matšoao a meningitis a kenyelletsa ho thatafala ha molala, feberu le ho ba le kutloisiso ea leseli.",back_translation
The meningococcal vaccine protects against bacterial meningitis.,Ente ea meningococcal e sireletsa khahlanong le meningitis ea baktheria.,back_translation
COVID-19 is spread through respiratory droplets and close contact.,COVID-19 e hasana ka marotholi a phefumoloho le ho kopana haufi-ufi.,back_translation
Wear a mask in crowded or poorly ventilated spaces.,Apara maske libakeng tse tletseng batho kapa tse nang le moea o fokolang.,back_translation
Wash your hands frequently with soap for at least 20 seconds.,Hlatsoa matsoho a hao khafetsa ka sesepa bonyane metsotsoana e 20.,back_translation
