sentence_id,domain_category,english_text,sesotho_text,source,source_reference,translator_code,reviewer_status,notes
3949,Appointments and Follow-Up,I was given a referral letter to the district hospital.,Ke filoe lengolo la referral sepetleleng sa setereke.,WHO,appointments-followup-v1,,reviewed,
3803,Appointments and Follow-Up,I want to ask the doctor about my viral load test results.,Ke rata ho botsa ngaka ka liphetho tsa tlhahlobo ea viral load ea ka.,WHO,appointments-followup-v1,,reviewed,
2025,Medication Instructions,Apply the ear drops and remain lying down for five minutes after instillation.,Sebelisa litšoelelo tsa tsebe mme u lule u robetse ka metsotso e mehlano ka mor'a ho kenya.,WHO,medication-instructions-v1,,reviewed,
2275,Medication Instructions,Contact your doctor if you develop a persistent redness in the body.,Ikopanye le ngaka ea hau haeba u ba le ho bofubedu ho tsoelang pele 'meleng.,WHO,medication-instructions-v1,,reviewed,
100,HIV,Peer support from other people living with HIV can improve treatment adherence.,Tšehetso e tsoang ho batho ba bang ba phelang le HIV e ka thusa ho ntlafatsa mokhoa oa ho nka meriana ka nepo.,UNAIDS,hiv-peer-support,,reviewed,
4922,General Patient Education,Community health campaigns provide free testing and treatment.,Likhampheini tsa bophelo ba sechaba li fana ka tlhahlobo le phekolo mahala.,WHO,general-patient-education-v1,,reviewed,
3408,Symptoms and Complaints,I have pain in my breast.,Ke na le mahloko letsoeleng la ka.,WHO,symptoms-complaints-v1,,reviewed,
4246,Maternal and Child Health,My child has been diagnosed with asthma.,Ngoana oa ka o hlahlojoe ka asthma.,WHO,maternal-child-health-v1,,reviewed,
4620,General Patient Education,Join a community exercise group or sports club.,Kenela sehlopha sa ho itlama sa sechaba kapa klapo ea lipapali.,WHO,general-patient-education-v1,,reviewed,
4917,General Patient Education,Mental health is a journey and every journey begins with a single step.,Bophelo ba kelello ke leeto mme leeto le leng le le leng le qala ka mohato o le mong.,WHO,general-patient-education-v1,,reviewed,
192,HIV,Sharing needles or syringes with someone who has HIV can transmit the virus.,Ho abelana ka linalete kapa lisirinji le motho ea nang le HIV ho ka fetisa vaerase.,CDC_HIVNexus,hiv-transmission,,reviewed,
4697,General Patient Education,Avoid alcohol to protect your liver from damage.,Hana joala ho sireletsa sebete sa hao ho kotsi.,WHO,general-patient-education-v1,,reviewed,
1785,Tuberculosis,Sputum induction using hypertonic saline helps obtain samples from patients who cannot cough productively.,Ho khothaletsa ho hlahisa mathe ka ho sebelisa hypertonic saline ho thusa ho fumana lisampole ho bakuli ba ke ke ba kohoa ka nepo.,WHO,tb-patch-final,,reviewed,
1533,Tuberculosis,Never stop taking your TB medication without consulting your healthcare provider.,Le ka mohla u se ke ua emisa ho nka meriana ea TB ntle le ho buisana le mofani oa hau oa tlhokomelo ea bophelo bo botle.,CDC,tb-adherence,,reviewed,
2835,Symptoms and Complaints,I have been having episodes of sudden headache.,Ke ntse ke na le linako tsa mahloko a hlooho ka tšohanyetso.,WHO,symptoms-complaints-v1,,reviewed,
4445,General Patient Education,Community support groups can help you manage your condition.,Lisehlopha tsa tshehetso ea sechaba li ka thusa ho laola boemo ba hao.,WHO,general-patient-education-v1,,reviewed,
4916,General Patient Education,You have the power to improve your mental health one day at a time.,O na le matla a ho ntlafatsa bophelo ba hao ba kelello letsatsi le le leng ka nako.,WHO,general-patient-education-v1,,reviewed,
1599,Tuberculosis,TB stigma can prevent people from seeking diagnosis and completing treatment.,Kekello ea TB e ka thibela batho ho batla tlhahlobo le ho phetela phekolo.,WHO,tb-stigma,,reviewed,
1780,Tuberculosis,TB bacteria can remain dormant in the body for years before becoming active.,Bakteria ea TB e ka lula e robetse 'meleng ka lilemo pele e sebetsa.,WHO,tb-patch-final,,reviewed,
4901,General Patient Education,You are not alone — help is available and recovery is possible.,Ha o le mong — thuso e fumaneha mme ho fola ho khonehile.,WHO,general-patient-education-v1,,reviewed,
2575,Medication Instructions,Do not give the medicine to a child who is on a flavour-free diet without checking.,U se ke ua fana ka moriana ho ngoana ea lijo tse se nang tatso ntle le ho hlahloba.,WHO,medication-instructions-v1,,reviewed,
3399,Symptoms and Complaints,I have pain during sexual intercourse.,Ke na le mahloko nakong ea thobalano.,WHO,symptoms-complaints-v1,,reviewed,
3976,Appointments and Follow-Up,The nurse told me to come back in four weeks for my next antenatal check.,Mooki o mpoleletse ho khutla libeke tse nne bakeng sa tlhahlobo ea ka e latelang ea ho mitsa.,WHO,appointments-followup-v1,,reviewed,
3771,Appointments and Follow-Up,I was told that my feedback helps improve the clinic's services.,Ke boletsoe hore maikutlo a ka a thusa ho ntlafatsa litšebeletso tsa kliniki.,WHO,appointments-followup-v1,,reviewed,
167,HIV,Bone density loss is a long-term concern for people on ART.,Ho lahleheloa ke letsetse la masapo (bone density loss) ke ntho e tšoenyang ka nako e telele ho batho ba ntseng ba nka meriana ea ART.,NIH_HIVinfo,hiv-bone-health,,reviewed,
1752,Tuberculosis,Decentralised TB services bring diagnosis and treatment closer to patients' homes.,Litshebeletso tsa TB tse abeloang li tlisa tlhahlobo le phekolo haufi le malapa a bakuli.,WHO,tb-decentralisation,,reviewed,
1480,Tuberculosis,Depression is common in TB patients and is associated with poor treatment adherence.,Ho nyamela ho atile ho bakuli ba TB mme ho amahanngoa le ho latela phekolo ho fokolang.,WHO,tb-depression,,reviewed,
1025,Tuberculosis,Close and prolonged contact with an infectious TB patient increases the risk of transmission.,Ho kopana haufi le nako e telele le mokuloi ea nang le TB e fetisoang ho eketsa kotsi ea phetisetso.,WHO,tb-contact-risk,,reviewed,
1789,Tuberculosis,Stool Xpert testing is a promising method for diagnosing TB in young children.,Ho lekoa ha Stool Xpert ke mokoa o tšepehang oa ho fumana TB ho bana ba banyenyane.,WHO,tb-patch-final,,reviewed,
2265,Medication Instructions,Seek medical attention if you develop signs of a serious nerve reaction.,Batla tlhokomelo ea ngaka haeba u ba le lišoaetso tsa karabelo e matla ea methapo.,WHO,medication-instructions-v1,,reviewed,
2474,Medication Instructions,"If you miss a dose of an antispasmodic, take it as soon as you remember.","Haeba u lahlehetsoe ke dose ea antispasmodic, e nke hang hang ha u hopola.",WHO,medication-instructions-v1,,reviewed,
1823,Medication Instructions,Take one tablet every twenty-four hours.,Nka pilisi e le ngoe ka maho a mashome a mabeli le mane.,WHO,medication-instructions-v1,,reviewed,
1221,Tuberculosis,Patients with chronic kidney disease may need dose adjustments for renally cleared TB drugs.,Bakuli ba nang le lefu le sa foleng la liphio ba ka ’na ba hloka ho fetoleloa litekanyetso tsa meriana ea TB e ntšoang ke liphio.,NIH,tb-ckd-treatment,,reviewed,
1667,Tuberculosis,The theme of World TB Day reflects the global commitment to ending tuberculosis.,Sehlooho sa Letsatsi la Lefatše la TB se bontša boikarabello ba lefatše lohle ba ho felisa tuberculosis.,WHO,tb-world-tb-day,,reviewed,
2961,Symptoms and Complaints,I have pain in my right knee that is worse when climbing stairs.,Ke na le mahloko mangoleng a ka a le letona a mpe ha ke nyolohela marapo a mabatla.,WHO,symptoms-complaints-v1,,reviewed,
153,HIV,Vitamin B12 deficiency is common in people taking certain ART medicines.,Ho hlokahala ha vithamine B12 (vitamin B12 deficiency) ho tloaelehile ho batho ba nkang meriana e itseng ea mofuta oa ART.,NIH_HIVinfo,hiv-nutrition,,reviewed,
2535,Medication Instructions,Do not give the medicine to a child who is on a ketogenic diet without advice.,U se ke ua fana ka moriana ho ngoana ea lijo tsa ketogenic ntle le keletso.,WHO,medication-instructions-v1,,reviewed,
4689,General Patient Education,Mental health treatment may include counselling and medication.,Phekolo ea bophelo ba kelello e ka kenyelletsa keletso le moriana.,WHO,general-patient-education-v1,,reviewed,
1979,Medication Instructions,Inject the solution at a forty-five-degree angle for subcutaneous injection.,Kenya setšoelo ka konokono ea mashome a mane le metso e mehlano bakeng sa ente ea ka tlase ho letlalo.,WHO,medication-instructions-v1,,reviewed,
1470,Tuberculosis,TB patients should receive nutritional assessment and counselling at the start of treatment.,Bakuli ba TB ba lokela ho fumana tlhahlobo ea phepo le keletso qalong ea phekolo.,WHO,tb-nutrition-assessment,,reviewed,
2808,Symptoms and Complaints,I feel very unwell and have been like this for weeks.,Ke ikutloa ke sa phela hantle haholo mme ke bile joalo ka libeke.,WHO,symptoms-complaints-v1,,reviewed,
2513,Medication Instructions,Do not give the medicine to a child who is sleeping unless instructed.,U se ke ua fana ka moriana ho ngoana ea robetseng ntle le haeba ho laetsoe.,WHO,medication-instructions-v1,,reviewed,
2944,Symptoms and Complaints,I have a sharp pain in my right wrist.,Ke na le mahloko a bohale liqhekelleng la ka la le letona.,WHO,symptoms-complaints-v1,,reviewed,
2981,Symptoms and Complaints,I have pain in my right ankle that is worse when walking.,Ke na le mahloko ankele ea ka ea le letona a mpe ha ke tsamaea.,WHO,symptoms-complaints-v1,,reviewed,
4823,General Patient Education,Some STIs have no symptoms and can only be detected by testing.,Li-STI tse ling ha li na matšoao mme li ka fumanoa feela ka tlhahlobo.,WHO,general-patient-education-v1,,reviewed,
3018,Symptoms and Complaints,I feel a burning sensation in my airways when I breathe.,Ke ikutloa maikutlo a ho chesa meeling ea moea ha ke hema.,WHO,symptoms-complaints-v1,,reviewed,
1567,Tuberculosis,UV germicidal irradiation can kill TB bacteria in indoor air.,Ho phahamisoa ha UV ho ka bolaea bakteria ea TB moeeng oa ka hare.,WHO,tb-uvgi,,reviewed,
32,HIV,Keep all your laboratory appointments even if you feel well.,Boloka lipehelo (appointments) tsohle tsa hau tsa laboratoring leha u ikutloa u phetse hantle.,CDC_HIVNexus,hiv-monitoring,,reviewed,
938,HIV,If you experience any side effects please come back to the clinic or call us immediately.,Haeba u ikutloa litlamorao tse ling tse ling ka kopo khutlela klinikhing kapa re letsetse hang hang.,clinical_fieldwork,clinician-patient-communication,,reviewed,
1216,Tuberculosis,Pregnant women with TB should be treated immediately as untreated TB poses greater risk than the drugs.,"Mosali ea moimana ea nang le lefuba o lokela ho fumana kalafo kapele, hobane ho se phekole lefuba ho kotsi ho feta ho noa meriana ea lona.",WHO,tb-pregnancy-treatment,,reviewed,
1938,Medication Instructions,Take one tablet three times daily for ten days.,Nka pilisi e le ngoe habeli ka letsatsi ka matsatsi a leshome.,WHO,medication-instructions-v1,,reviewed,
1130,Tuberculosis,Incarcerated individuals have TB rates many times higher than the general population.,Batho ba khotsofatsoang ba na le likhato tsa TB tse phahameng makhetlo a mangata ho feta sechaba ka kakaretso.,WHO,tb-prison-risk,,reviewed,
310,HIV,Caesarean section may be recommended for HIV-positive women with high viral loads.,Caesarean section e fetohelele ho khutliswa basali ba nang le HIV le viral load e kgolo.,WHO,pmtct-delivery,,raw,
4902,General Patient Education,Mental health awareness reduces stigma and encourages help-seeking.,Temoso ea bophelo ba kelello e fokotsa koluoa le ho khothaletsa ho batla thuso.,WHO,general-patient-education-v1,,reviewed,
2169,Medication Instructions,Seek medical attention if you develop swollen ankles or feet.,Batla tlhokomelo ea ngaka haeba u ba le li-ankle kapa maoto a ruruhetse.,WHO,medication-instructions-v1,,reviewed,
3114,Symptoms and Complaints,I have been passing stools that float on the water.,Ke ntse ke fetisa manyelo a phaphametseng metsin.,WHO,symptoms-complaints-v1,,reviewed,
496,HIV,I am a sex worker and I want to start PrEP.,Ke moshanyana wa tsamaea ka noxa le ke batla ho qala PrEP.,clinical_fieldwork,patient-prep-request,,raw,
206,HIV,PrEP must be taken every day to be effective.,PrEP e lokela ho nkoa letsatsi le leng le le leng hore e sebetse hantle.,CDC_HIVNexus,hiv-prep,,reviewed,
2674,Medication Instructions,Take your medicine with a support system to help you stay on track.,Nka moriana oa hau le tsamaiso ea tshehetso ho u thusa ho lula tseleng e nepahetseng.,WHO,medication-instructions-v1,,reviewed,
3358,Symptoms and Complaints,I have a rash that is accompanied by joint pain.,Ke na le ho ruruha ha letlalo ho tsamaeang le mahloko a maqhoa.,WHO,symptoms-complaints-v1,,reviewed,
3831,Appointments and Follow-Up,I want to ask about the safety of breastfeeding while on ART.,Ke rata ho botsa ka polokeho ea ho anyesa ha ke ntse ke nka ART.,WHO,appointments-followup-v1,,reviewed,
306,HIV,Option B+ means all HIV-positive pregnant women start ART regardless of CD4 count.,Option B+ e bolela ba bang le HIV ba apere ART e seng ba ahilwe ke CD4 count.,WHO,pmtct-option-b-plus,,raw,
3794,Appointments and Follow-Up,I must not share my medication with other people.,Ha ke tlameha ho arolelana moriana oa ka le batho ba bang.,WHO,appointments-followup-v1,,reviewed,
2202,Medication Instructions,This medicine may cause a decrease in platelets; report unusual bleeding.,Moriana ona o ka baka ho fokotseha ha li-platelet; bua ho tsoa mali ho sa tloaelehang.,WHO,medication-instructions-v1,,reviewed,
1062,Tuberculosis,"Sputum smear microscopy is a rapid, low-cost test used to detect TB bacteria in sputum.","Microscopy ea ho hlakola mathe ke tlhahlobo ea potlako, e tlase litefisong, e sebelisoa ho fumana bakteria ea TB mathe.",WHO,tb-smear-microscopy,,reviewed,
844,HIV,Disclosure of HIV status to children should be done gradually and with professional support.,Ho senola boemo ba HIV ho bana ho lokela ho etsoa butle butle le ka tshehetso ea boqhetseke.,UNICEF,hiv-paediatric-disclosure,,reviewed,
3873,Appointments and Follow-Up,I could not attend my appointment due to lack of transport.,Ha ke a khona ho tla appointment ea ka ka lebaka la ho hlokahala ha lipalangoa.,WHO,appointments-followup-v1,,reviewed,
2252,Medication Instructions,This medicine may cause a decrease in iron levels; take a supplement if advised.,Moriana ona o ka baka ho fokotseha ha maemo a tšepe; nka sesebelisoa haeba ho laetsoe.,WHO,medication-instructions-v1,,reviewed,
212,HIV,HIV testing is voluntary and no one can force you to be tested.,Ho hlahlobeloa HIV ke ntho ea boithatelo mme ha ho na motho ea ka u qobellang ho hlahlobeha.,WHO,hiv-testing-rights,,reviewed,
3998,Appointments and Follow-Up,I need to book a follow-up appointment after completing my antibiotics.,Ke hloka ho buka appointment ea ho latela ka mor'a ho phetela li-antibiotic tsa ka.,WHO,appointments-followup-v1,,reviewed,
680,HIV,On-demand PrEP involves taking doses before and after sex rather than daily.,PrEP ea on-demand e kenyelletsa ho nka li-dose pele le ka mora thobalano ho feta ho nka letsatsi le leng le le leng.,WHO,hiv-prep-on-demand,,reviewed,
566,HIV,Assisted reproduction techniques can help serodiscordant couples conceive without HIV transmission.,Tlhahiso ya ho hlahisa e ka thusa basali ba serodiscordant ho hlahisa bana ba sa neng a hloka HIV.,NIH_HIVinfo,hiv-serodiscordant-conception,,raw,
3291,Symptoms and Complaints,I have yellow eyes and yellow skin.,Ke na le mahlo a tšoeu-tala le letlalo le tšoeu-tala.,WHO,symptoms-complaints-v1,,reviewed,
4355,Maternal and Child Health,I was told no contraceptive method is one hundred percent effective.,Ke boletsoe hore ha ho mokhoa oa thibelo ea ho mitsa o sebetsang lekholong la lekholong.,WHO,maternal-child-health-v1,,reviewed,
681,HIV,PEP must be taken for exactly 28 days and must not be stopped early.,PEP e lokela ho nkoa ka matsatsi a 28 ka nepo mme ha e lokela ho emisoa kapele.,WHO,hiv-pep-duration,,reviewed,
181,HIV,HIV is a virus that attacks the immune system.,HIV ke vaerase e hlaselang sesole sa mmele.,CDC_HIVNexus,hiv-basics,,reviewed,
4280,Maternal and Child Health,My baby is fifteen months old and is not yet walking.,Ngoana oa ka o na le likhoeli tse leshome le metso e mehlano mme ha a tsamaee.,WHO,maternal-child-health-v1,,reviewed,
2496,Medication Instructions,Give the medicine at the same time each day to help your child remember.,Fana ka moriana ka nako e tšoanang letsatsi le leng le le leng ho thusa ngoana oa hau ho hopola.,WHO,medication-instructions-v1,,reviewed,
2317,Medication Instructions,This medicine may interact with anticoagulant drugs; monitor clotting time.,Moriana ona o ka kopana le meriana ea anticoagulant; hlahloja nako ea ho tšoaroa ha mali.,WHO,medication-instructions-v1,,reviewed,
4274,Maternal and Child Health,I was told to store my baby's food safely to prevent contamination.,Ke boletsoe ho boloka lijo tsa ngoana oa ka ka polokeho ho thibela tšoaetso.,WHO,maternal-child-health-v1,,reviewed,
279,HIV,My partner does not know I have HIV and I am afraid to tell them.,Motho wa ka ha a tsebe hore ke na le HIV mme ke a tšosa ho mo tsebisa.,clinical_fieldwork,patient-hiv-disclosure,,raw,
3684,Appointments and Follow-Up,The doctor explained the next steps in my treatment.,Ngaka e hlalositše mehato e latelang phekolo ea ka.,WHO,appointments-followup-v1,,reviewed,
4763,General Patient Education,Community health workers provide health services at the community level.,Basebetsi ba bophelo ba sechaba ba fana ka litšebeletso tsa bophelo bo botle maemong a sechaba.,WHO,general-patient-education-v1,,reviewed,
433,HIV,Condom distribution programmes for sex workers are an effective HIV prevention strategy.,Mananeo a phatlalatso ea likhohlopo bakeng sa basebetsi ba thobalano ke leano le sebetsang la thibelo ea HIV.,WHO,hiv-sex-workers-prevention,,reviewed,
290,HIV,Disclosure counselling helps people decide how and when to share their HIV status.,Tokiso ya ho tsebisa e thusa batho ho etsa ditshono ka tsela eo ba tla tsebisa maemo a bona a HIV.,WHO,hiv-disclosure-counselling,,raw,
1028,Tuberculosis,"Good ventilation in homes, clinics, and public spaces reduces TB transmission risk.","Moea o motle malapeng, likhlinikhing, le libakeng tsa sechaba o fokotsa kotsi ea phetisetso ea TB.",WHO,tb-ventilation,,reviewed,
536,HIV,Polypharmacy is a concern for older people living with HIV who take multiple medicines.,Polypharmacy ke bothata ba batho ba baholo ba phelang le HIV ba otlang ditherepe lefapha tse ngata.,NIH_HIVinfo,hiv-polypharmacy,,raw,
3632,Appointments and Follow-Up,I am here for my cholesterol results appointment.,Ke teng bakeng sa appointment ea liphetho tsa cholesterol ea ka.,WHO,appointments-followup-v1,,reviewed,
189,HIV,You cannot get HIV from toilet seats or swimming pools.,U ke ke ua tšoaroa ke HIV ka lebaka la litulo tsa matloana kapa liliba tsa ho tola (swimming pools).,NIH_HIVinfo,hiv-transmission-myths,,reviewed,
2175,Medication Instructions,Contact your doctor if you experience heart palpitations while taking this medicine.,Ikopanye le ngaka ea hau haeba u ikutloa pelo e otla ka matla ha u nka moriana ona.,WHO,medication-instructions-v1,,reviewed,
3916,Appointments and Follow-Up,I need the clinic to call me the day before my appointment.,Ke hloka hore kliniki e nketsetse mohala letsatsi pele ho appointment ea ka.,WHO,appointments-followup-v1,,reviewed,
1863,Medication Instructions,Take one tablet every six hours for forty-eight hours.,Nka pilisi e le ngoe ka maho a tšeletseng ka maho a mashome a mane le robeli.,WHO,medication-instructions-v1,,reviewed,
271,HIV,Faith-based organisations play an important role in HIV prevention and support.,Makgotla a matsoalo a akgela a na le sebaka se seholo mo kgotlatsheking ya HIV le tshireletso.,UNAIDS,hiv-faith-community,,raw,
1729,Tuberculosis,TB patients have the right to be informed about their diagnosis and treatment options.,Bakuli ba TB ba na le tokelo ea ho tsebisoa ka tlhahlobo ea bona le likhetho tsa phekolo.,WHO,tb-informed-consent,,reviewed,
4076,Maternal and Child Health,I was told I am fully dilated and ready to push.,O ile a mpontša hore ke tsamae hantle 'me ke tlohelwe ke tšele.,WHO,maternal-child-health-v1,,raw,
2158,Medication Instructions,This medicine may cause a metallic taste in the mouth.,Moriana ona o ka baka tatso ea tšepe molomong.,WHO,medication-instructions-v1,,reviewed,
3932,Appointments and Follow-Up,My doctor told me my condition is stable after the follow-up.,Ngaka ea ka e mpoleletse hore boemo ba ka bo tsitsitseng ka mor'a ho latela.,WHO,appointments-followup-v1,,reviewed,
112,HIV,All pregnant women should be tested for HIV at their first antenatal visit.,Basali bohle ba bakhachane ba lokela ho hlahlobeloa HIV leetong la bona la pele la ho ea kliniki.,WHO,pmtct-testing,,reviewed,
2385,Medication Instructions,"If it is almost time for your next dose, skip the missed dose.","Haeba e se e le haufinyane le nako ea dose ea hau e latelang, tlohela dose e lahlehileng.",WHO,medication-instructions-v1,,reviewed,
221,HIV,Index testing involves offering HIV tests to sexual partners and children of people diagnosed with HIV.,Tlhahlobo ea index e kenyelletsa ho fana ka liteko tsa HIV ho balekane ba thobalano le bana ba batho ba fumaneng HIV.,WHO,hiv-index-testing,,reviewed,
628,HIV,I did not think I would live this long after my HIV diagnosis but here I am.,Ha ke a nahana hore nka phela nako e telele joalo ka mor'a ho fuoa HIV empa ke le mona.,clinical_fieldwork,patient-hiv-long-term,,reviewed,
1182,Tuberculosis,TB treatment adherence requires taking every dose of every drug for the full duration of treatment.,Ho latela phekolo ea TB ho hloka ho nka dose le 'ngoe ea moriana o mong le o mong nako yohle ea phekolo.,CDC,tb-adherence-definition,,reviewed,
3382,Symptoms and Complaints,I have a rash that is accompanied by thickening of the skin.,Ke na le ho ruruha ha letlalo ho tsamaeang le ho tetea ha letlalo.,WHO,symptoms-complaints-v1,,reviewed,
2423,Medication Instructions,Do not take a double dose of a diabetes medicine if you miss one.,U se ke ua nka dose e habeli ea moriana oa tsoekere haeba u lahlehetsoe ke e le ngoe.,WHO,medication-instructions-v1,,reviewed,
791,HIV,"HIV-affected children are at higher risk of school dropout, malnutrition, and abuse.","Bana ba angoa ke HIV ba leng kotsing e phahameng ea ho tlohela sekolo, ho hloka phepo, le ho hlorisoa.",UNICEF,hiv-ovc-risks,,reviewed,
4276,Maternal and Child Health,I was told not to give my baby cow's milk before one year.,Ke boletsoe ho se fe ngoana oa ka lebese la khomo pele a fihla selomong se le seng.,WHO,maternal-child-health-v1,,reviewed,
462,HIV,People living with HIV should be involved in decisions about HIV policies and programmes.,Batho ba phelang le HIV ba lokela ho kenyelletsooa liqetong mabapi le maano le mananeo a HIV.,UNAIDS,hiv-meaningful-involvement,,reviewed,
4403,General Patient Education,You have the right to ask your doctor questions about your health.,O na le tokelo ea ho botsa ngaka ea hao lipotso ka bophelo ba hao.,WHO,general-patient-education-v1,,reviewed,
552,HIV,Carry enough ART medicine for the entire trip plus extra in case of delays.,"Nka tšwelepele tše ngata tsa ditherepe ya ART tša hau tša tswa lefelong la hau, le tše eketsegang, hloko-hloko ha ho na tšwanelo pele.",CDC_HIVNexus,hiv-travel,,raw,
3130,Symptoms and Complaints,I have a pain in my lower left abdomen that radiates to my back.,Ke na le mahloko mpeng ea ka e tlase ea molema a isisoang mokokotlong oa ka.,WHO,symptoms-complaints-v1,,reviewed,
1445,Tuberculosis,BCG vaccination at birth significantly reduces the risk of TB meningitis and miliary TB in infants.,Ente ea BCG e neoang ha ho tsoaloa e fokotsa haholo kotsi ea TB meningitis le TB ea miliary ho bana ba banyenyane.,WHO,tb-bcg-infant-protection,,reviewed,
199,HIV,Female condoms are also effective at preventing HIV when used correctly.,Likhohlopo tsa basali le tsona li sebetsa hantle ho thibela HIV ha li sebelisoa ka nepo.,UNFPA,hiv-condom-use,,reviewed,
2590,Medication Instructions,Keep a record of when you take your medicine to track your adherence.,Boloka rekoto ea nako eo u nkang moriana oa hau ho latela ho latela ha hau.,WHO,medication-instructions-v1,,reviewed,
403,HIV,My baby tested positive for HIV at six weeks and I need help.,Ngoana oa ka o hlahlobelitsoe HIV mme o fumane sephetho se molemo ka libeke tse tšeletseng mme ke hloka thuso.,clinical_fieldwork,patient-pmtct-infant,,reviewed,
3960,Appointments and Follow-Up,The nurse told me to keep my wound clean and dry.,Mooki o mpoleletse ho boloka ntoa ea ka e hloekileng le e omileng.,WHO,appointments-followup-v1,,reviewed,
4190,Maternal and Child Health,My child has been refusing to eat for the past few days.,Mwana wa ka ha a je letho ka mafelo a mabedi a kgwedi.,WHO,maternal-child-health-v1,,raw,
4764,General Patient Education,Community health workers can help you navigate the health system.,Basebetsi ba bophelo ba sechaba ba ka thusa ho tsamaea sisteme ea bophelo bo botle.,WHO,general-patient-education-v1,,reviewed,
2096,Medication Instructions,Store the medication away from strong odours and chemicals.,Boloka moriana hole le limonko tse matla le likhemikale.,WHO,medication-instructions-v1,,reviewed,
2901,Symptoms and Complaints,I have pain in my lower legs that is severe.,Ke na le mahloko maotong a ka a tlase a matla.,WHO,symptoms-complaints-v1,,reviewed,
4463,General Patient Education,Wash your hands after coughing or sneezing.,Hlatsoa matsoho a hao ka mor'a ho kohoa kapa ho thiimela.,WHO,general-patient-education-v1,,reviewed,
651,HIV,Viral load testing should be repeated every twelve months for stable patients on ART.,Ho lekoa ha viral load ho lokela ho phindoa likhoeli tse leshome le metso e meli le metso e meli bakeng sa bakuli ba tsitsitseng holim'a ART.,WHO,hiv-vl-monitoring,,reviewed,
709,HIV,Microsporidiosis causes chronic diarrhoea in people with advanced HIV.,Microsporidiosis e baka sehlohlolo sa nako e telele ho batho ba nang le HIV e tsoelang pele.,NIH_HIVinfo,oi-microsporidiosis,,reviewed,
1481,Tuberculosis,"Anxiety about TB diagnosis, treatment side effects, and social consequences is common.","Ho tšaba ka tlhahlobo ea TB, litlamorao tsa phekolo, le litlamorao tsa sechaba ho tloaelehile.",WHO,tb-anxiety,,reviewed,
4415,General Patient Education,Always inform the nurse if your condition changes between visits.,Tsebisa mooki kamehla haeba boemo ba hao bo fetohile lipakeng tsa litsebeliso.,WHO,general-patient-education-v1,,reviewed,
3066,Symptoms and Complaints,I feel a pressure in my lungs when I breathe.,Ke ikutloa khatello matšoafong ha ke hema.,WHO,symptoms-complaints-v1,,reviewed,
2396,Medication Instructions,Contact your healthcare provider if you miss several doses in a row.,Ikopanye le mofani oa hau oa tlhokomelo ea bophelo bo botle haeba u lahlehetsoe ke li-dose tse ngata ka molapo.,WHO,medication-instructions-v1,,reviewed,
1770,Tuberculosis,TB can reactivate decades after the initial infection.,TB e ka vuseletsa lilemo tse mashome ka mor'a tšoaetso ea pele.,CDC,tb-reactivation-timing,,reviewed,
