sentence_id,domain_category,english_text
4052,Maternal and Child Health,I felt my baby move for the first time today.
4053,Maternal and Child Health,I was told to count my baby's movements every day.
4054,Maternal and Child Health,I was given a referral to the hospital for an ultrasound scan.
4055,Maternal and Child Health,My ultrasound showed that I am expecting twins.
4056,Maternal and Child Health,I was told my placenta is low and I need to be monitored.
4057,Maternal and Child Health,I was told I have too much fluid around my baby.
4058,Maternal and Child Health,I was told I have too little fluid around my baby.
4059,Maternal and Child Health,I was advised to rest and avoid heavy work during my pregnancy.
4060,Maternal and Child Health,I was told to avoid alcohol and smoking during my pregnancy.
4061,Maternal and Child Health,I was told to eat a balanced diet during my pregnancy.
4062,Maternal and Child Health,I was advised to drink plenty of water during my pregnancy.
4063,Maternal and Child Health,I was told to sleep on my left side during the last months.
4064,Maternal and Child Health,I was given information about breastfeeding at my antenatal visit.
4065,Maternal and Child Health,I was told about the benefits of exclusive breastfeeding.
4066,Maternal and Child Health,I attended an antenatal education class at the clinic.
4067,Maternal and Child Health,I was told what to expect during labour and delivery.
4068,Maternal and Child Health,I was advised to prepare a hospital bag before my due date.
4069,Maternal and Child Health,I was told my due date is in three weeks.
4070,Maternal and Child Health,I think I am in labour and need to go to the hospital.
4071,Maternal and Child Health,My contractions are coming every five minutes.
4072,Maternal and Child Health,My waters have broken and I need help immediately.
4073,Maternal and Child Health,I am experiencing heavy bleeding and need urgent care.
4074,Maternal and Child Health,I arrived at the hospital and was admitted to the labour ward.
4075,Maternal and Child Health,The nurse checked how far I am dilated.
4076,Maternal and Child Health,I was told I am fully dilated and ready to push.
4077,Maternal and Child Health,I delivered my baby safely at the clinic.
4078,Maternal and Child Health,I had a normal vaginal delivery.
4079,Maternal and Child Health,I had a caesarean section at the hospital.
4080,Maternal and Child Health,My baby was born healthy and crying.
4081,Maternal and Child Health,My baby needed oxygen after delivery.
4082,Maternal and Child Health,My baby was taken to the neonatal unit after birth.
4083,Maternal and Child Health,I was told my baby has a low birth weight.
4084,Maternal and Child Health,My baby was born prematurely at thirty-two weeks.
4085,Maternal and Child Health,I was given an injection after delivery to prevent bleeding.
4086,Maternal and Child Health,I was stitched after my delivery.
4087,Maternal and Child Health,I was told to keep my stitches clean and dry.
4088,Maternal and Child Health,I experienced heavy bleeding after delivery.
4089,Maternal and Child Health,I was given a blood transfusion after delivery.
4090,Maternal and Child Health,I was told to rest for at least six weeks after delivery.
4091,Maternal and Child Health,I was discharged from the hospital two days after delivery.
4092,Maternal and Child Health,I was given postnatal care instructions before leaving the hospital.
4093,Maternal and Child Health,I was told to come back to the clinic six weeks after delivery.
4094,Maternal and Child Health,I was encouraged to breastfeed my baby immediately after birth.
4095,Maternal and Child Health,My baby was put on my chest immediately after birth.
4096,Maternal and Child Health,I was shown how to breastfeed correctly by the nurse.
4097,Maternal and Child Health,I was told to breastfeed my baby every two to three hours.
4098,Maternal and Child Health,I was told not to give my baby water or formula.
4099,Maternal and Child Health,I was given a vitamin K injection for my baby after birth.
4100,Maternal and Child Health,My baby received eye drops after delivery.
4101,Maternal and Child Health,My baby was given the BCG vaccine at birth.
4102,Maternal and Child Health,My baby was given the polio vaccine at birth.
4103,Maternal and Child Health,My baby's birth was registered at the hospital.
4104,Maternal and Child Health,I was given a road-to-health booklet for my baby.
4105,Maternal and Child Health,I was told to bring the road-to-health booklet to every visit.
4106,Maternal and Child Health,I was given my baby's birth certificate before leaving the hospital.
4107,Maternal and Child Health,I was told about family planning options after delivery.
4108,Maternal and Child Health,I was given a contraceptive injection six weeks after delivery.
4109,Maternal and Child Health,I was advised to use condoms to protect against HIV after delivery.
4110,Maternal and Child Health,I am here for my six-week postnatal check-up.
4111,Maternal and Child Health,I have been experiencing pain at my caesarean scar.
4112,Maternal and Child Health,My stitches have not healed properly after delivery.
4113,Maternal and Child Health,I have been having heavy bleeding two weeks after delivery.
4114,Maternal and Child Health,I have been experiencing fever and chills after delivery.
4115,Maternal and Child Health,I have a painful and swollen breast since I started breastfeeding.
4116,Maternal and Child Health,I have cracked and sore nipples from breastfeeding.
4117,Maternal and Child Health,I am struggling to produce enough breast milk.
4118,Maternal and Child Health,I have been feeling very sad and tearful since my baby was born.
4119,Maternal and Child Health,I have been feeling overwhelmed and anxious since delivery.
4120,Maternal and Child Health,I have not been sleeping since my baby was born.
4121,Maternal and Child Health,I have been feeling disconnected from my baby.
4122,Maternal and Child Health,I was told I may have postnatal depression.
4123,Maternal and Child Health,I was referred to a counsellor for postnatal support.
4124,Maternal and Child Health,I have been experiencing pain during intercourse after delivery.
4125,Maternal and Child Health,I have been having urinary incontinence since delivery.
4126,Maternal and Child Health,I was told my uterus has not contracted properly after delivery.
4127,Maternal and Child Health,I was given medication to help my uterus contract after delivery.
4128,Maternal and Child Health,I have been told my haemoglobin is low after delivery.
4129,Maternal and Child Health,I was given iron supplements at my postnatal visit.
4130,Maternal and Child Health,I was told to continue taking my ART medication after delivery.
4131,Maternal and Child Health,I was told my baby needs to be tested for HIV at six weeks.
4132,Maternal and Child Health,My baby tested positive for HIV and was started on treatment.
4133,Maternal and Child Health,My baby tested negative for HIV at the six-week test.
4134,Maternal and Child Health,I was told to exclusively breastfeed for six months.
4135,Maternal and Child Health,I was told to continue breastfeeding while on ART.
4136,Maternal and Child Health,I was advised to introduce solid foods at six months.
4137,Maternal and Child Health,I was told to continue breastfeeding alongside solid foods.
4138,Maternal and Child Health,I was told to wean my baby at twelve months.
4139,Maternal and Child Health,I was given family planning advice at my postnatal visit.
4140,Maternal and Child Health,I was told about the different contraceptive options available.
4141,Maternal and Child Health,I chose to use the contraceptive implant after delivery.
4142,Maternal and Child Health,I was given the contraceptive pill at my postnatal visit.
4143,Maternal and Child Health,I was told to use condoms consistently to prevent HIV.
4144,Maternal and Child Health,I was referred to the family planning clinic for further advice.
4145,Maternal and Child Health,I was told my postnatal check-up results are normal.
4146,Maternal and Child Health,I was told I can resume normal activities after six weeks.
4147,Maternal and Child Health,I was told to return to the clinic if I develop any complications.
4148,Maternal and Child Health,I was given the contact number of the postnatal support line.
4149,Maternal and Child Health,I was discharged from postnatal care after my six-week check.
4150,Maternal and Child Health,I was told to bring my baby for immunisations at six weeks.
4151,Maternal and Child Health,I was told to attend the child health clinic every month.
4152,Maternal and Child Health,I was given information about the road-to-health programme.
4153,Maternal and Child Health,I was told to weigh my baby at the clinic every month.
4154,Maternal and Child Health,I was told to watch for danger signs in my newborn.
4155,Maternal and Child Health,I was told to go to the clinic immediately if my baby has a fever.
4156,Maternal and Child Health,I was told to go to the clinic if my baby is not feeding well.
4157,Maternal and Child Health,I was told to go to the clinic if my baby has difficulty breathing.
4158,Maternal and Child Health,I was told to go to the clinic if my baby has a rash.
4159,Maternal and Child Health,I was told to go to the clinic if my baby is very pale or yellow.
4160,Maternal and Child Health,I have brought my baby for the six-week immunisation.
4161,Maternal and Child Health,My baby is due for the ten-week vaccines today.
4162,Maternal and Child Health,I have come for my baby's fourteen-week immunisation.
4163,Maternal and Child Health,My child is due for the nine-month vaccines.
4164,Maternal and Child Health,I have brought my child for the twelve-month immunisation.
4165,Maternal and Child Health,My child is due for the eighteen-month booster vaccines.
4166,Maternal and Child Health,I have come for my child's five-year school entry vaccines.
4167,Maternal and Child Health,I would like to know which vaccines my baby needs today.
4168,Maternal and Child Health,I would like to know the vaccination schedule for my baby.
4169,Maternal and Child Health,My baby cried a lot after the last vaccination.
4170,Maternal and Child Health,My baby developed a fever after the vaccination.
4171,Maternal and Child Health,My baby has a swollen arm after the injection.
