english,reference_sesotho,nllb_sesotho,google_sesotho
Can I bring my child to my appointment?,Na nka tlisa ngoana oa ka appointment ea ka?,Na nka tlisa ngoana oa ka ho ea kopana le 'na?,A na nka tlisa ngoana oaka kopanong ea ka?
I was advised to enrol my child in an early childhood development programme.,Ke keletsoeng ho ngolisa ngoana oa ka lenanenong la kholo ea bana ba banyenyane.,Ke ile ka eletsoa hore ke ngolise ngoana oa ka lenaneong la tsoelo-pele ea bongoaneng.,Ke ile ka eletsoa hore ke ngolise ngoana oa ka lenaneong la ho hōlisa bongoana.
Palliative care improves the quality of life for people with serious illness.,Tlhokomelo ea ho fokotsa bohloko e ntlafatsa boleng ba bophelo bakeng sa batho ba nang le mahlwetse a matla.,Tlhokomelo e thibelang mafu e ntlafatsa boleng ba bophelo ba batho ba nang le mafu a tebileng.,Tlhokomelo e fokolang e ntlafatsa boleng ba bophelo ho batho ba nang le maloetse a tebileng.
Do not leave the medication in a hot car during summer.,U se ke ua siea moriana koloing e chesang nakong ea lehlabula.,U se ke ua tlohela meriana ka koloing e chesang nakong ea lehlabula.,U se ke ua tlohela meriana ka koloing e chesang nakong ea lehlabula.
I need to know the clinic's appointment hours.,Ke hloka ho tseba linako tsa li-appointment tsa kliniki.,Ke hloka ho tseba linako tsa ho ea tleliniking.,Ke hloka ho tseba lihora tsa kopano ea tleliniki.
I was told I may have postnatal depression.,Nkae ilo ilo nne nkaitshele hore ke ka na bohloko ba morao-matlafatsi.,Ke ile ka bolelloa hore ke ka 'na ka ba le khatello ea maikutlo ka mor'a hore ke tsoaloe.,Ke ile ka bolelloa hore nka ba le khatello ea maikutlo kamora ho pepa.
Regular monitoring helps your doctor know if your ART is working.,Tlhahlobo ea madi ea ho beha leihlo lebelo la HIV (HIV monitoring) hangata e etsoa kamora likhoeli tse ling le tse ling tse tharo ho isa ho tse tšeletseng.,Tlhokomelo ea kamehla e thusa ngaka ea hao ho tseba hore na ART ea hao e sebetsa.,Ho beha leihlo kamehla ho thusa ngaka ea hau ho tseba hore na ART ea hau ea sebetsa.
People who inject drugs living with HIV should receive ART alongside addiction treatment.,Batho ba hlabang ka lithethefatsi (people who inject drugs) ba phelang le HIV ba lokela ho fumana phekolo ea lithibela-mafofore (ART) mmoho le phekolo ea ho tlohela bokhoba ba lino le lithethefatsi (addiction treatment).,Batho ba nang le tšoaetso ea HIV ba lokelang ho fuoa ART hammoho le phekolo ea ho lemalla lithethefatsi.,Batho ba entang litlhare ba phelang le HIV ba lokela ho fumana ART hammoho le kalafo ea bokhoba.
HIV testing is confidential and your results will not be shared without your consent.,Ho hlahlobeloa HIV ho boloka sephiri mme liphetho tsa hau ha li na ho abeloa ntle le tumello ea hau.,Tlhahlobo ea HIV ke ea lekunutu 'me liphello tsa hao li ke ke tsa arolelanoa ntle le tumello ea hao.,Tlhahlobo ea HIV ke lekunutu 'me liphetho tsa hau li ke ke tsa arolelanoa ntle le tumello ea hau.
I would like to be referred to a closer clinic.,Ke rata ho romeloa klinikeng e haufi haholo.,Nka rata ho fetisetsoa tleliniking e haufi.,Ke kopa ho fetisetsoa tleliniking e haufi.
I have to go back to the clinic for my test results.,Ke tlameha ho khutla klinikeng bakeng sa liphetho tsa tlhahlobo ea ka.,Ke lokela ho khutlela tleliniking bakeng sa liphetho tsa liteko tsa ka.,Ke tlameha ho khutlela tleliniking ho fumana liphetho tsa liteko tsa ka.
Talking to someone you trust can help relieve stress.,Ho bua le motho eo o mo tšepang ho ka thusa ho fokotsa khatello ea maikutlo.,Ho bua le motho eo u mo tšepang ho ka thusa ho imolla khatello ea maikutlo.,Ho bua le motho eo u mo tšepang ho ka thusa ho imolla khatello ea kelello.
I have been passing stools that are very pale.,Ke ntse ke fetisa manyelo a pheelang haholo.,Ke 'nile ka feta setulong se khanyang haholo.,Ke 'nile ka feta mantle a letšo-letšo haholo.
Inform your doctor if you are having difficulty with the frequency of dosing.,Tsebisa ngaka ea hau haeba u na le bothata ba hangata ha ho nka dose.,Bolella ngaka ea hao haeba u e-na le bothata ba ho sebelisa litekanyetso ka makhetlo a mangata.,Tsebisa ngaka ea hau haeba u na le bothata ka makhetlo a mangata a dosing.
